"","c_d","s_d"
"1",556,-512
"2",-368,-252
"3",-512,837
"4",-512,1371
"5",-240,1534
"6",712,1100
"7",1196,433
"8",668,-170
"9",511,-72
"10",3,221
"11",-512,1106
"12",-512,1534
"13",-512,1533
"14",-512,1246
"15",-386,1318
"16",-183,1534
"17",138,1534
"18",868,1534
"19",1534,952
"20",1382,552
"21",1319,511
"22",1534,212
"23",1114,-512
"24",353,-473
"25",-147,-68
"26",431,1290
"27",868,1534
"28",1031,1383
"29",1525,1019
"30",1534,136
"31",1534,-363
"32",1390,-242
"33",780,790
"34",511,1264
"35",511,1064
"36",511,773
"37",511,511
"38",370,10
"39",77,-196
"40",-151,271
"41",345,511
"42",1000,511
"43",1024,507
"44",664,204
"45",511,1116
"46",647,1360
"47",511,1485
"48",511,814
"49",511,361
"50",351,147
"51",-512,672
"52",-512,1277
"53",-512,1534
"54",101,1534
"55",941,1193
"56",1363,1094
"57",1534,1157
"58",1191,585
"59",513,842
"60",208,1534
"61",511,1407
"62",511,777
"63",1052,-229
"64",1045,-512
"65",58,-237
"66",-285,833
"67",151,1385
"68",-253,936
"69",-3,1351
"70",456,1378
"71",403,511
"72",-42,476
"73",-417,426
"74",-491,763
"75",15,1113
"76",511,1273
"77",789,526
"78",1181,-512
"79",713,-512
"80",740,-290
"81",454,-512
"82",177,-340
"83",-116,-209
"84",-403,-344
"85",-113,-278
"86",484,-7
"87",511,-323
"88",384,-512
"89",54,-326
"90",-159,-452
"91",-173,-512
"92",-267,-451
"93",-450,-151
"94",-512,458
"95",-37,1370
"96",511,1504
"97",574,801
"98",-27,683
"99",228,1165
"100",166,1137
"101",-67,695
"102",747,511
"103",1111,154
"104",773,-187
"105",1214,511
"106",1344,205
"107",848,-479
"108",10,66
"109",-512,1313
"110",-187,1534
"111",1076,1534
"112",1534,224
"113",841,-512
"114",-157,1122
"115",474,1534
"116",1369,1453
"117",1534,787
"118",1534,127
"119",1449,-45
"120",23,199
"121",-117,614
"122",-435,882
"123",-512,1046
"124",3,1346
"125",511,1245
"126",511,1029
"127",528,861
"128",928,811
"129",1310,679
"130",1154,511
"131",959,511
"132",867,511
"133",476,511
"134",511,1372
"135",738,1282
"136",1161,1391
"137",1261,1479
"138",511,895
"139",165,289
"140",-512,934
"141",-474,1484
"142",-224,677
"143",-134,-446
"144",-163,-512
"145",-512,-346
"146",-512,855
"147",-153,1534
"148",700,1425
"149",1175,812
"150",1534,341
"151",1534,-131
"152",1534,-410
"153",1178,-503
"154",897,-512
"155",780,-512
"156",713,-512
"157",430,-512
"158",511,514
"159",511,1393
"160",511,1263
"161",811,936
"162",1097,-158
"163",1198,-512
"164",1046,-512
"165",666,-512
"166",894,739
"167",1017,1534
"168",813,1534
"169",763,1455
"170",1044,813
"171",1369,-193
"172",1134,-512
"173",640,-512
"174",327,110
"175",197,511
"176",377,511
"177",1249,511
"178",1420,-378
"179",680,-512
"180",199,459
"181",118,511
"182",199,511
"183",310,918
"184",291,1524
"185",-251,1276
"186",364,1253
"187",511,970
"188",511,726
"189",539,511
"190",503,511
"191",664,511
"192",621,-215
"193",585,-512
"194",375,-512
"195",18,206
"196",60,511
"197",384,511
"198",616,511
"199",1263,256
"200",1534,-123
"201",1382,-41
"202",1288,62
"203",1144,-30
"204",488,-512
"205",-253,-460
"206",-475,-73
"207",-512,577
"208",-512,1104
"209",0,1534
"210",607,1534
"211",1185,1342
"212",982,1216
"213",950,616
"214",1060,463
"215",-191,110
"216",-512,1242
"217",90,1534
"218",577,1184
"219",511,849
"220",511,33
"221",585,-167
"222",733,-362
"223",433,31
"224",2,395
"225",185,337
"226",240,504
"227",369,511
"228",170,625
"229",-23,1028
"230",-300,1471
"231",135,1534
"232",1430,1287
"233",1534,422
"234",1522,136
"235",939,4
"236",756,389
"237",1329,1342
"238",887,1534
"239",511,1534
"240",242,1362
"241",-16,1366
"242",26,1534
"243",643,1534
"244",1228,1258
"245",1534,520
