"","c_d","s_d"
"1",41,-512
"2",-53,-248
"3",82,328
"4",502,1143
"5",971,1534
"6",1520,880
"7",1343,-12
"8",1198,-408
"9",1059,-512
"10",511,-391
"11",511,400
"12",511,571
"13",988,1196
"14",1411,1534
"15",1456,1080
"16",1094,511
"17",-96,511
"18",-478,912
"19",-468,1330
"20",-512,917
"21",-196,511
"22",313,511
"23",866,482
"24",1028,298
"25",969,73
"26",1092,-257
"27",1373,-512
"28",1036,-512
"29",384,-358
"30",1,511
"31",-72,1044
"32",857,1040
"33",1534,243
"34",1245,-130
"35",1223,-127
"36",1077,-116
"37",704,290
"38",648,1460
"39",137,1185
"40",276,1000
"41",444,1231
"42",481,1509
"43",663,1308
"44",1131,880
"45",1183,511
"46",-52,137
"47",-335,314
"48",-325,511
"49",-400,511
"50",-475,681
"51",-348,1025
"52",91,1350
"53",511,1005
"54",689,549
"55",379,1031
"56",-382,1333
"57",-381,1534
"58",-163,1534
"59",615,1534
"60",1534,1087
"61",1534,-100
"62",1489,-389
"63",1146,-135
"64",1078,-111
"65",894,-179
"66",535,-180
"67",511,243
"68",337,511
"69",739,511
"70",1201,-74
"71",1108,-512
"72",1018,-445
"73",1279,92
"74",907,86
"75",511,113
"76",366,448
"77",12,158
"78",155,-106
"79",-57,496
"80",-468,511
"81",-269,892
"82",-185,1049
"83",-271,1071
"84",-172,1099
"85",294,628
"86",807,-106
"87",1048,-512
"88",940,-512
"89",979,-509
"90",1254,-512
"91",866,-512
"92",42,-218
"93",-38,422
"94",92,511
"95",473,511
"96",1179,-396
"97",1409,-171
"98",1416,-107
"99",1034,-34
"100",511,850
"101",511,1410
"102",1056,858
"103",722,518
"104",511,823
"105",511,1300
"106",511,1314
"107",511,833
"108",-308,673
"109",-440,1025
"110",-46,1271
"111",511,1277
"112",511,573
"113",121,511
"114",-338,1027
"115",71,1534
"116",309,608
"117",425,511
"118",219,511
"119",-75,35
"120",-446,141
"121",-512,1029
"122",-388,1341
"123",131,1298
"124",315,511
"125",266,707
"126",85,620
"127",-305,511
"128",-512,611
"129",-501,1105
"130",-341,1014
"131",-384,-113
"132",-209,217
"133",-316,511
"134",-224,934
"135",105,1433
"136",567,1534
"137",856,1212
"138",654,357
"139",95,584
"140",511,748
"141",511,364
"142",511,984
"143",744,1534
"144",687,1534
"145",976,1534
"146",1189,964
"147",1429,511
"148",1287,507
"149",744,359
"150",511,313
"151",907,143
"152",1141,-20
"153",735,-301
"154",511,-8
"155",473,424
"156",495,1075
"157",984,1534
"158",1534,1082
"159",1361,94
"160",551,-443
"161",-217,281
"162",-512,511
"163",-440,-145
"164",-304,-255
"165",-210,106
"166",-176,511
"167",991,537
"168",1534,-39
"169",1474,-230
"170",1043,-512
"171",867,-512
"172",355,-512
"173",-5,-145
"174",259,441
"175",776,640
"176",1176,511
"177",611,331
"178",793,511
"179",1041,511
"180",1064,483
"181",1001,381
"182",850,511
"183",418,847
"184",425,1298
"185",450,1489
"186",370,1534
"187",754,1534
"188",1323,1534
"189",1534,941
"190",1534,-2
"191",1534,-512
"192",736,-512
"193",655,466
"194",1330,806
"195",1497,850
"196",955,974
"197",870,1054
"198",1068,1136
"199",1347,1294
"200",1534,1236
"201",1404,1407
"202",530,1374
"203",223,1534
"204",414,1473
"205",686,1501
"206",802,1224
"207",1170,423
"208",1181,-512
"209",411,-512
"210",-191,-368
"211",-512,472
"212",-371,1407
"213",190,1534
"214",847,1534
"215",1520,1295
"216",1534,642
"217",1534,713
"218",1534,661
"219",1534,275
"220",1402,48
"221",1062,-91
"222",1181,-456
"223",1180,-512
"224",792,-512
"225",145,-220
"226",133,918
"227",511,1353
"228",661,623
"229",919,475
"230",257,-378
"231",-512,407
"232",-512,1379
"233",-474,1534
"234",5,1477
"235",856,436
"236",836,-357
"237",528,-512
"238",313,-512
"239",294,-512
"240",120,-43
"241",-2,472
"242",-328,511
"243",-7,1534
"244",864,1441
"245",1175,671
