"","c_d","s_d"
"1",912,946
"2",486,769
"3",381,511
"4",-16,152
"5",376,262
"6",906,511
"7",1534,298
"8",1199,-120
"9",686,-429
"10",511,-47
"11",164,418
"12",-512,724
"13",-319,1409
"14",-282,1534
"15",-447,164
"16",-450,-372
"17",-503,-457
"18",-456,-339
"19",-446,-130
"20",-421,103
"21",83,-204
"22",354,112
"23",870,511
"24",1057,360
"25",836,217
"26",660,924
"27",596,556
"28",-293,511
"29",-305,949
"30",474,420
"31",1367,-512
"32",1295,-512
"33",487,-253
"34",403,327
"35",488,202
"36",474,511
"37",606,-230
"38",560,-512
"39",-292,-114
"40",-98,1326
"41",481,1534
"42",605,871
"43",788,511
"44",715,511
"45",655,530
"46",640,1128
"47",949,1026
"48",1067,1237
"49",886,1534
"50",392,1534
"51",707,1534
"52",842,922
"53",571,511
"54",196,362
"55",-352,367
"56",-512,385
"57",-512,47
"58",-472,253
"59",436,389
"60",511,481
"61",705,511
"62",1263,871
"63",1462,432
"64",1151,438
"65",829,122
"66",552,-134
"67",808,411
"68",1036,511
"69",980,511
"70",896,401
"71",303,411
"72",-268,1360
"73",-257,1452
"74",733,1024
"75",1322,84
"76",1483,-103
"77",1534,-44
"78",1534,-24
"79",1534,-336
"80",1101,-512
"81",138,-512
"82",-30,458
"83",171,511
"84",697,311
"85",779,-512
"86",223,-512
"87",101,197
"88",511,1019
"89",511,745
"90",957,397
"91",732,-512
"92",278,-472
"93",272,-85
"94",59,2
"95",-496,602
"96",75,1356
"97",491,1466
"98",412,1534
"99",601,1534
"100",511,596
"101",238,252
"102",-249,351
"103",-310,495
"104",-386,511
"105",-512,929
"106",-512,1473
"107",-238,1167
"108",487,1025
"109",511,221
"110",511,-357
"111",684,-512
"112",1142,-512
"113",1233,-400
"114",837,-292
"115",559,511
"116",470,511
"117",959,511
"118",1311,-101
"119",1199,-512
"120",1166,-340
"121",929,55
"122",1065,827
"123",1534,928
"124",1534,366
"125",1534,-225
"126",1480,-305
"127",1061,-92
"128",-53,158
"129",-486,642
"130",-512,939
"131",-512,1191
"132",-512,1289
"133",-423,1079
"134",137,848
"135",421,-29
"136",254,498
"137",697,511
"138",1106,511
"139",633,492
"140",511,497
"141",920,-75
"142",1252,-512
"143",756,-512
"144",511,35
"145",511,-76
"146",901,-454
"147",203,-120
"148",-214,341
"149",-512,1177
"150",-512,1534
"151",-182,1534
"152",663,1534
"153",1534,1321
"154",1534,132
"155",1534,-512
"156",531,-223
"157",-82,511
"158",-321,511
"159",206,1173
"160",587,1127
"161",511,644
"162",509,511
"163",456,511
"164",751,1448
"165",1089,1006
"166",1312,511
"167",1124,511
"168",649,453
"169",511,1038
"170",511,1534
"171",806,1309
"172",750,242
"173",511,-512
"174",317,-512
"175",145,-512
"176",124,-512
"177",-206,-275
"178",-391,560
"179",352,1057
"180",1033,761
"181",1505,611
"182",1534,-70
"183",1462,-512
"184",357,-450
"185",-16,340
"186",-273,511
"187",-319,888
"188",-75,1360
"189",222,1534
"190",467,1459
"191",164,1193
"192",-512,1114
"193",-316,947
"194",546,755
"195",1534,644
"196",1534,349
"197",1534,708
"198",1502,725
"199",1495,788
"200",1534,849
"201",1534,646
"202",1534,48
"203",1182,-427
"204",446,213
"205",-22,511
"206",-257,654
"207",87,1534
"208",1186,1076
"209",1534,511
"210",886,511
"211",511,667
"212",176,863
"213",-456,711
"214",141,532
"215",574,-60
"216",871,-512
"217",1031,-394
"218",511,134
"219",511,790
"220",511,511
"221",145,359
"222",579,172
"223",1088,166
"224",1154,-249
"225",864,-512
"226",-86,-477
"227",-512,467
"228",-497,869
"229",-512,1017
"230",-512,1141
"231",-512,1534
"232",-512,1534
"233",-313,1534
"234",638,713
"235",762,-222
"236",511,192
"237",511,1155
"238",690,1169
"239",1018,818
"240",1229,511
"241",1272,707
"242",1534,594
"243",1534,-58
"244",1166,-471
"245",426,493
