"","df.Time_day","df.std.esn"
"1","02:40:48",86.345148853001
"2","02:50:48",85.8397496014551
"3","03:00:48",81.6886112757171
"4","03:10:48",84.7576048950357
"5","03:20:48",85.2606275657482
"6","03:30:48",84.094034579416
"7","03:40:47",83.2420025124782
"8","03:50:48",83.4361298072674
"9","04:00:48",84.7625380251301
"10","04:10:48",83.6881886136068
"11","04:20:48",84.903818726302
"12","04:30:48",82.6845287408523
"13","05:30:48",81.0288668463019
"14","05:40:48",83.0984088223829
"15","05:50:48",81.4641743087601
"16","06:00:48",82.7407303995697
"17","06:10:48",83.1174623028669
"18","06:20:48",81.5292791444643
"19","06:30:48",81.8873312572501
"20","06:40:47",80.6025066584055
"21","06:50:48",75.7785129973182
"22","07:00:48",76.306367604342
"23","07:10:48",76.9009400024222
"24","07:20:48",78.4174776345681
"25","07:30:48",81.3871931746613
"26","07:40:48",78.1888717226161
"27","07:50:48",76.2717551914462
"28","08:00:48",76.2164454166095
"29","08:10:47",78.8786941729866
"30","08:20:48",74.5674587202145
"31","08:30:48",76.5583999720766
"32","08:40:48",77.5245454023679
"33","08:50:48",78.5176690441242
"34","09:00:48",75.060626457085
"35","09:10:48",76.5020676101672
"36","09:20:48",76.4230171102826
