"Max_SNR" "day_in_decimal"
3.3236051094458 7.34722222222222
3.66591114100536 7.34027777777778
3.33461417254576 7.33333333333333
3.54183512745086 7.32638888888889
3.17183961071612 7.31944444444444
3.22662903914775 7.3125
3.27682407882806 7.30555555555556
3.30794506471427 7.29861111111111
3.17799480939151 7.29166666666667
3.36998074432948 7.28472222222222
3.28732890535355 7.27777777777778
3.63203285510472 7.27083333333333
3.33622402525272 7.26388888888889
3.84963265528824 7.25694444444444
3.32133352995856 7.25
3.5538954512971 7.24305555555556
3.29631143594237 7.23611111111111
3.30894893655056 7.22916666666667
3.32754389286437 7.1875
3.25254858987877 7.18055555555556
3.41174158314423 7.17361111111111
3.54803134443713 7.16666666666667
3.12840737915531 7.15972222222222
3.43180474045929 7.15277777777778
3.73881066598188 7.14583333333333
3.48769980596159 7.13888888888889
3.38970458788606 7.13194444444444
3.17103569978171 7.125
3.61267978270177 7.11805555555556
3.79394056553444 7.11111111111111
3.24589632977596 7.10416666666667
3.06316819981249 7.09722222222222
3.58627811890047 7.05555555555556
3.06684520861806 7.04861111111111
4.17239320497788 7.04166666666667
3.95063377512707 7.03472222222222
