"","df.Time_day","df.std.esn"
"1","01:00:48",82.4812123854825
"2","01:10:48",83.876354457615
"3","01:20:48",84.830425684192
"4","02:20:48",84.9036617969182
"5","02:30:48",86.3006085259537
"6","02:40:48",86.345148853001
"7","02:50:48",85.8397496014551
"8","03:00:48",81.6886112757171
"9","03:10:48",84.7576048950357
"10","03:20:48",85.2606275657482
"11","03:30:48",84.094034579416
"12","03:40:47",83.2420025124782
"13","03:50:48",83.4361298072674
"14","04:00:48",84.7625380251301
"15","04:10:48",83.6881886136068
"16","04:20:48",84.903818726302
"17","04:30:48",82.6845287408523
"18","05:30:48",81.0288668463019
"19","05:40:48",83.0984088223829
"20","05:50:48",81.4641743087601
"21","06:00:48",82.7407303995697
"22","06:10:48",83.1174623028669
"23","06:20:48",81.5292791444643
"24","06:30:48",81.8873312572501
"25","06:40:47",80.6025066584055
"26","06:50:48",75.7785129973182
"27","07:00:48",76.306367604342
"28","07:10:48",76.9009400024222
"29","07:20:48",78.4174776345681
"30","07:30:48",81.3871931746613
"31","07:40:48",78.1888717226161
"32","07:50:48",76.2717551914462
"33","08:00:48",76.2164454166095
"34","08:10:47",78.8786941729866
"35","08:20:48",74.5674587202145
"36","08:30:48",76.5583999720766
