"","Date_In_Decimal","Current(m/s)"
"1",23.6805555555556,-0.0983703042937623
"2",23.6388888888889,0.61689820710637
"3",23.6111111111111,-0.466293733355129
"4",23.5694444444444,-0.466082516295901
"5",23.5208333333333,-0.469679478485581
"6",23.4930555555556,0.562598729084324
"7",23.375,0.0492697237906533
"8",23.2916666666667,0.39364238214332
"9",23.2847222222222,-0.0514700279239525
"10",23.2777777777778,0.405845649758212
"11",23.2361111111111,-0.235058788053671
"12",23.2152777777778,-0.0891408255832761
"13",23.1875,0.511954370500427
"14",23.1805555555556,0.189159211191241
"15",23.0347222222222,0.10494124520091
