"","Date_In_Decimal","Current(m/s)"
"1",23.8888888888889,-0.0612506832856949
"2",23.8472222222222,0.176358577228519
"3",23.6388888888889,0.0403985900789136
"4",23.6111111111111,-0.200091523782537
"5",23.5208333333333,-0.164140746516658
"6",23.4930555555556,0.219671698084397
"7",23.4722222222222,0.183421717211809
"8",23.4097222222222,0.187136146573916
"9",23.3055555555556,0.0333948364015834
"10",23.2916666666667,0.178774797126147
"11",23.2083333333333,0.0876869254564831
"12",23.1875,-0.00133727017843227
