"","c_d","s_d"
"1",565,759
"2",808,902
"3",952,950
"4",970,777
"5",946,448
"6",937,239
"7",948,410
"8",885,829
"9",783,1190
"10",807,1379
"11",913,1427
"12",1017,1424
"13",1042,1353
"14",1014,1245
"15",878,1084
"16",650,882
"17",515,676
"18",518,422
"19",588,380
"20",617,337
"21",654,488
"22",677,829
"23",705,1031
"24",816,947
"25",1047,753
"26",1175,648
"27",1179,620
"28",1175,518
"29",1217,339
"30",1132,132
"31",956,-4
"32",789,-17
"33",673,91
"34",621,369
"35",630,710
"36",599,854
"37",569,781
"38",672,607
"39",888,457
"40",1181,424
"41",1522,579
"42",1757,880
"43",1788,1209
"44",1632,1415
"45",1305,1314
"46",981,1025
"47",833,863
"48",855,966
"49",875,1159
"50",877,1259
"51",918,1247
"52",939,1151
"53",933,1101
"54",869,1106
"55",679,1083
"56",450,919
"57",378,705
"58",561,582
"59",875,613
"60",1083,659
"61",1165,547
"62",1150,441
"63",998,515
"64",815,662
"65",861,707
"66",1120,705
"67",1389,850
"68",1435,1188
"69",1211,1433
"70",1006,1306
"71",1040,935
"72",1264,637
"73",1337,603
"74",1230,582
"75",1134,536
"76",1025,571
"77",819,701
"78",540,772
"79",445,702
"80",621,494
"81",962,361
"82",1260,432
"83",1384,631
"84",1314,841
"85",1174,905
"86",1007,849
"87",895,888
"88",827,987
"89",691,962
"90",507,872
"91",388,907
"92",274,958
"93",350,981
"94",477,1001
"95",662,1129
"96",932,1286
"97",1128,1284
"98",1264,1056
"99",1501,791
"100",1743,712
"101",1854,782
"102",1791,852
"103",1658,793
"104",1448,607
"105",1215,426
"106",1027,476
"107",878,750
"108",743,1039
"109",681,1183
"110",735,1222
"111",863,1294
"112",1027,1463
"113",1083,1590
"114",1009,1455
"115",967,1097
"116",1010,756
"117",1135,675
"118",1222,844
"119",1209,1080
"120",1126,1297
"121",980,1412
"122",829,1306
"123",792,1103
"124",947,1066
"125",1129,1219
"126",1200,1384
"127",1189,1425
"128",1254,1348
"129",1407,1167
"130",1533,996
"131",1481,945
"132",1256,1036
"133",945,1109
"134",670,1053
"135",633,962
"136",903,1005
"137",1186,1247
"138",1342,1540
"139",1371,1653
"140",1371,1656
"141",1222,1779
"142",1041,1815
"143",902,1625
"144",853,1353
"145",905,1098
"146",973,867
"147",820,559
"148",784,237
"149",886,204
"150",827,513
"151",503,806
"152",89,746
"153",-56,543
"154",44,505
"155",370,831
"156",551,1198
"157",516,1260
"158",516,1094
"159",662,915
"160",869,845
"161",1056,1011
"162",1049,1227
"163",830,1144
"164",660,838
"165",771,758
"166",914,1002
"167",854,1396
"168",630,1658
"169",467,1704
"170",559,1581
"171",789,1481
"172",992,1402
"173",1050,1335
"174",992,1358
"175",928,1385
"176",970,1427
"177",1001,1379
"178",992,1339
"179",1030,1128
"180",1178,935
"181",1311,873
"182",1307,888
"183",1210,841
"184",1087,790
"185",1040,920
"186",908,1170
"187",639,1264
"188",489,1010
"189",713,728
"190",1112,688
"191",1431,918
"192",1611,1273
"193",1635,1616
"194",1416,1825
"195",1432,1753
"196",1446,1242
"197",1456,661
"198",1490,347
"199",1414,282
"200",1127,323
"201",757,351
"202",465,316
"203",407,491
"204",484,601
"205",634,593
"206",742,711
"207",806,789
"208",819,779
"209",839,696
"210",896,512
"211",924,322
"212",903,240
"213",863,280
"214",740,407
"215",626,573
"216",604,631
"217",721,677
"218",912,842
"219",1079,1162
"220",1204,1567
"221",1233,1890
"222",1254,2043
"223",1143,1931
"224",996,1599
"225",962,1209
"226",1063,1019
"227",1142,1155
"228",1065,1445
"229",898,1594
"230",861,1577
"231",973,1544
"232",1193,1459
"233",1416,1220
"234",1558,999
"235",1643,969
"236",1641,1073
"237",1492,1134
"238",1293,1030
"239",1201,762
"240",1184,447
"241",1167,312
"242",1143,359
"243",1181,403
"244",1219,383
"245",1191,384
