"","Date_In_Decimal","degree_(C)"
"1",23.6805555555556,29.8101898537439
"2",23.6388888888889,29.7843831175409
"3",23.6111111111111,29.7994671138582
"4",23.5694444444444,29.7813789995948
"5",23.5208333333333,29.7935044075971
"6",23.4930555555556,29.7921788169118
"7",23.375,29.7588631619578
"8",23.2916666666667,29.7924161285273
"9",23.2847222222222,29.7751853699232
"10",23.2777777777778,29.7819861274757
"11",23.2361111111111,29.7937259058849
"12",23.2152777777778,29.7351259824748
"13",23.1875,29.7935130154845
"14",23.1805555555556,29.7577586580591
"15",23.0347222222222,29.8286331580568
