"X1" "X2" "X3"
34.601 24 0
34.60105 24 0
34.6011 24 0
34.60115 24 0
34.6012 24 0
34.60125 24 0
34.6013 24 0
34.60135 24 0
34.6014 24 0
34.60145 24 0
34.6015 24 0
34.60155 24 0
34.6016 24 0
34.60165 24 0
34.6017 24 0
34.60175 24 0
34.6018 24 0
34.60185 24 0
34.6019 24 0
34.60195 24 0
34.602 24 0
34.60205 24 0
34.6021 24 0
34.60215 24 0
34.6022 24 0
34.60225 24 0
34.6023 24 0
34.60235 24 0
34.6024 24 0
34.60245 24 0
34.6025 24 0
34.60255 24 0
34.6026 24 0
34.60265 24 0
34.6027 24 0
34.60275 24 0
34.6028 24 0
34.60285 24 0
34.6029 24 0
34.60295 24 0
34.603 24 0
34.60305 24 0
34.6031 24 0
34.60315 24 0
34.6032 24 0
34.60325 24 0
34.6033 24 0
34.60335 24 0
34.6034 24 0
34.60345 24 0
34.6035 24 0
34.60355 24 0
34.6036 24 0
34.60365 24 0
34.6037 24 0
34.60375 24 0
34.6038 24 0
34.60385 24 0
34.6039 24 0
34.60395 24 0
34.604 24 0
34.60405 24 0
34.6041 24 0
34.60415 24 0
34.6042 24 0
34.60425 24 0
34.6043 24 0
34.60435 24 0
34.6044 24 0
34.60445 24 0
34.6045 24 0
34.60455 24 0
34.6046 24 0
34.60465 24 0
34.6047 24 0
34.60475 24 0
34.6048 24 0
34.60485 24 0
34.6049 24 0
34.60495 24 0
34.605 24 0
34.60505 24 0
34.6051 24 0
34.60515 24 0
34.6052 24 0
34.60525 24 0
34.6053 24 0
34.60535 24 0
34.6054 24 0
34.60545 24 0
34.6055 24 0
34.60555 24 0
34.6056 24 0
34.60565 24 0
34.6057 24 0
34.60575 24 0
34.6058 24 0
34.60585 24 0
34.6059 24 0
34.60595 24 0
34.606 24 0
34.60605 24 0
34.6061 24 0
34.60615 24 0
34.6062 24 0
34.60625 24 0
34.6063 24 0
34.60635 24 0
34.6064 24 0
34.60645 24 0
34.6065 24 0
34.60655 24 0
34.6066 24 0
34.60665 24 0
34.6067 24 0
34.60675 24 0
34.6068 24 0
34.60685 24 0
34.6069 24 0
34.60695 24 0
34.607 24 0
34.60705 24 0
34.6071 24 0
34.60715 24 0
34.6072 24 0
34.60725 24 0
34.6073 24 0
34.60735 24 0
34.6074 24 0
34.60745 24 0
34.6075 24 0
34.60755 24 0
34.6076 24 0
34.60765 24 0
34.6077 24 0
34.60775 24 0
34.6078 24 0
34.60785 24 0
34.6079 24 0
34.60795 24 0
34.608 24 0
34.60805 24 0
34.6081 24 0
34.60815 24 0
34.6082 24 0
34.60825 24 0
34.6083 24 0
34.60835 24 0
34.6084 24 0
34.60845 24 0
34.6085 24 0
34.60855 24 0
34.6086 24 0
34.60865 24 0
34.6087 24 0
34.60875 24 0
34.6088 24 0
34.60885 24 0
34.6089 24 0
34.60895 24 0
34.609 24 0
34.60905 24 0
34.6091 24 0
34.60915 24 0
34.6092 24 0
34.60925 24 0
34.6093 24 0
34.60935 24 0
34.6094 24 0
34.60945 24 0
34.6095 24 0
34.60955 24 0
34.6096 24 0
34.60965 24 0
34.6097 24 0
34.60975 24 0
34.6098 24 0
34.60985 24 0
34.6099 24 0
34.60995 24 0
34.61 24 0
34.61005 24 0
34.6101 24 0
34.61015 24 0
34.6102 24 0
34.61025 24 0
34.6103 24 0
34.61035 24 0
34.6104 24 0
34.61045 24 0
34.6105 24 0
34.61055 24 0
34.6106 24 0
34.61065 24 0
34.6107 24 0
34.61075 24 0
34.6108 24 0
34.61085 24 0
34.6109 24 0
34.61095 24 0
34.611 24 0
34.61105 24 0
34.6111 24 0
34.61115 24 0
34.6112 24 0
34.61125 24 0
34.6113 24 0
34.61135 24 0
34.6114 24 0
34.61145 24 0
34.6115 24 0
34.61155 24 0
34.6116 24 0
34.61165 24 0
34.6117 24 0
34.61175 24 0
34.6118 24 0
34.61185 24 0
34.6119 24 0
34.61195 24 0
34.612 24 0
34.61205 24 0
34.6121 24 0
34.61215 24 0
34.6122 24 0
34.61225 24 0
34.6123 24 0
34.61235 24 0
34.6124 24 0
34.61245 24 0
34.6125 24 0
34.61255 24 0
34.6126 24 0
34.61265 24 0
34.6127 24 0
34.61275 24 0
34.6128 24 0
34.61285 24 0
34.6129 24 0
34.61295 24 0
34.613 24 0
34.61305 24 0
34.6131 24 0
34.61315 24 0
34.6132 24 0
34.61325 24 0
34.6133 24 0
34.61335 24 0
34.6134 24 0
34.61345 24 0
34.6135 24 0
34.61355 24 0
34.6136 24 0
34.61365 24 0
34.6137 24 0
34.61375 24 0
34.6138 24 0
34.61385 24 0
34.6139 24 0
34.61395 24 0
34.614 24 0
34.61405 24 0
34.6141 24 0
34.61415 24 0
34.6142 24 0
34.61425 24 0
34.6143 24 0
34.61435 24 0
34.6144 24 0
34.61445 24 0
34.6145 24 0
34.61455 24 0
34.6146 24 0
34.61465 24 0
34.6147 24 0
34.61475 24 0
34.6148 24 0
34.61485 24 0
34.6149 24 0
34.61495 24 0
34.615 24 0
34.61505 24 0
34.6151 24 0
34.61515 24 0
