"","Dt_int_12","v_12","dt_12"
"1",9.56597222222222,-1.63259174352425,-63997.5963461505
"2",9.60069422222222,-1.14589936119243,-44919.2549587432
"3",9.63541622222222,-0.46287195246194,-18144.580536508
"4",9.67013822222222,-0.0563316944547661,-2208.20242262683
"5",9.70486022222222,0.11885804735546,4659.23545633405
"6",9.73958222222222,0.162796849057753,6381.63648306392
"7",9.77430422222222,0.149819038024631,5872.90629056552
"8",9.80902622222222,0.116207029159553,4555.31554305449
"9",9.84374822222222,0.069474288629645,2723.39211428209
"10",9.87847022222222,0.0248439469527488,973.882720547752
"11",9.91319222222222,0.00206073366741107,80.780759762514
"12",9.94791422222222,-0.00325796300477212,-127.712149787067
"13",9.98263622222222,-0.00141002864870987,-55.273123029427
