"","c_d","s_d"
"1",1004,980
"2",1016,930
"3",949,911
"4",935,983
"5",942,1001
"6",960,971
"7",984,931
"8",988,899
"9",999,953
"10",1021,983
"11",1013,930
"12",989,907
"13",953,948
"14",953,971
"15",975,972
"16",1026,957
"17",1037,941
"18",1009,953
"19",961,968
"20",980,955
"21",1049,924
"22",1070,890
"23",994,855
"24",950,869
"25",1002,909
"26",1001,906
"27",957,909
"28",940,958
"29",983,997
"30",979,966
"31",970,928
"32",957,917
"33",966,945
"34",1019,942
"35",998,885
"36",945,898
"37",903,913
"38",867,915
"39",852,915
"40",846,918
"41",884,904
"42",944,941
"43",980,979
"44",948,927
"45",920,900
"46",900,911
"47",881,945
"48",929,983
"49",960,967
"50",937,955
"51",921,975
"52",922,997
"53",944,979
"54",954,909
"55",922,840
"56",933,876
"57",968,938
"58",961,960
"59",944,990
"60",907,977
"61",906,975
"62",938,953
"63",922,933
"64",892,926
"65",908,959
"66",930,990
"67",913,922
"68",900,906
"69",912,935
"70",890,952
"71",899,945
"72",946,918
"73",970,918
"74",935,958
"75",910,1024
"76",924,1032
"77",964,966
"78",940,900
"79",916,917
"80",935,967
"81",957,969
"82",947,966
"83",923,964
"84",878,983
"85",878,1015
"86",905,1010
"87",897,981
"88",922,987
"89",950,995
"90",937,967
"91",920,942
"92",934,969
"93",943,979
"94",924,976
"95",915,981
"96",915,955
"97",907,915
"98",916,939
"99",935,1000
"100",957,1003
"101",949,971
"102",935,957
"103",909,949
"104",952,958
"105",989,937
"106",991,894
"107",931,902
"108",909,975
"109",921,1003
"110",982,988
"111",1005,1001
"112",1002,1012
"113",1019,990
"114",990,962
"115",1001,946
"116",982,957
"117",952,981
"118",929,1001
"119",928,1057
"120",967,1044
"121",964,942
"122",935,937
"123",954,952
"124",943,936
"125",935,942
"126",899,949
"127",921,976
"128",961,961
"129",983,942
"130",963,882
"131",930,868
"132",998,947
"133",1016,987
"134",1007,948
"135",950,885
"136",932,916
"137",959,931
"138",977,943
"139",978,965
"140",986,941
"141",1008,916
"142",1011,891
"143",986,887
"144",911,894
"145",884,920
"146",894,949
"147",910,960
"148",960,957
"149",980,923
"150",951,913
"151",925,893
"152",972,895
"153",961,867
"154",912,892
"155",879,925
"156",934,981
"157",948,979
"158",942,957
"159",931,934
"160",915,902
"161",943,891
"162",1000,873
"163",956,873
"164",918,930
"165",911,979
"166",901,976
"167",924,961
"168",969,925
"169",958,912
"170",939,938
"171",943,980
"172",923,935
"173",894,888
"174",919,903
"175",942,943
"176",948,943
"177",953,900
"178",930,906
"179",926,963
"180",915,997
"181",958,926
"182",949,864
"183",897,902
"184",891,983
"185",944,983
"186",953,941
"187",919,942
"188",895,977
"189",909,963
"190",947,910
"191",927,880
"192",905,937
"193",880,953
"194",884,960
"195",913,976
"196",919,970
"197",896,934
"198",892,947
"199",882,971
"200",913,973
"201",931,931
"202",919,920
"203",893,952
"204",912,992
"205",935,974
"206",919,991
"207",900,1011
"208",920,992
"209",943,987
"210",928,1011
"211",925,1013
"212",967,977
"213",993,969
"214",946,948
"215",884,948
"216",872,992
"217",898,1000
"218",933,983
"219",959,975
"220",946,961
"221",971,959
"222",1038,955
"223",1010,915
"224",934,913
"225",877,942
"226",881,926
"227",930,970
"228",971,999
"229",956,977
"230",918,951
"231",962,988
"232",1020,980
"233",1001,938
"234",921,927
"235",941,945
"236",991,968
"237",997,943
"238",977,921
"239",968,984
"240",965,1024
"241",956,949
"242",941,888
"243",938,926
"244",956,935
"245",951,879
