"","c_d","s_d"
"1",951,1007
"2",934,965
"3",931,958
"4",983,1011
"5",1024,992
"6",975,955
"7",936,972
"8",939,973
"9",980,960
"10",1015,921
"11",969,892
"12",961,955
"13",958,944
"14",951,922
"15",965,905
"16",972,931
"17",1000,940
"18",998,960
"19",983,967
"20",974,951
"21",929,917
"22",900,926
"23",922,946
"24",981,999
"25",987,984
"26",929,938
"27",927,951
"28",978,961
"29",998,899
"30",967,850
"31",920,870
"32",949,949
"33",983,974
"34",965,938
"35",948,933
"36",966,951
"37",982,964
"38",995,941
"39",971,921
"40",961,921
"41",951,937
"42",971,974
"43",965,959
"44",959,908
"45",970,913
"46",985,907
"47",964,908
"48",990,907
"49",986,866
"50",968,858
"51",966,886
"52",969,913
"53",951,901
"54",908,920
"55",910,966
"56",927,997
"57",967,995
"58",956,938
"59",937,916
"60",917,932
"61",925,928
"62",910,897
"63",948,898
"64",950,927
"65",932,966
"66",936,941
"67",935,922
"68",944,914
"69",984,886
"70",974,878
"71",935,908
"72",884,912
"73",897,898
"74",887,918
"75",940,965
"76",990,943
"77",969,906
"78",909,910
"79",950,979
"80",1012,972
"81",979,939
"82",907,941
"83",852,943
"84",915,971
"85",963,950
"86",952,933
"87",933,962
"88",934,999
"89",952,950
"90",927,892
"91",893,933
"92",912,992
"93",932,964
"94",901,954
"95",909,1010
"96",956,996
"97",940,965
"98",918,935
"99",912,930
"100",942,913
"101",927,903
"102",886,933
"103",920,985
"104",932,943
"105",946,928
"106",912,919
"107",909,940
"108",970,941
"109",1023,914
"110",977,876
"111",943,894
"112",951,956
"113",982,950
"114",952,930
"115",902,962
"116",920,990
"117",984,943
"118",970,905
"119",968,935
"120",991,955
"121",952,944
"122",907,942
"123",925,963
"124",964,960
"125",985,956
"126",977,971
"127",970,986
"128",970,962
"129",974,929
"130",962,920
"131",960,976
"132",990,1004
"133",981,912
"134",950,890
"135",939,934
"136",998,985
"137",997,932
"138",936,886
"139",910,934
"140",968,974
"141",985,946
"142",971,962
"143",950,982
"144",979,1017
"145",986,1003
"146",949,980
"147",937,970
"148",955,962
"149",952,955
"150",995,916
"151",997,892
"152",978,912
"153",950,903
"154",907,926
"155",958,957
"156",966,907
"157",958,912
"158",936,932
"159",960,946
"160",1007,907
"161",989,847
"162",902,859
"163",917,926
"164",968,956
"165",980,945
"166",934,956
"167",938,968
"168",936,920
"169",952,898
"170",977,887
"171",975,893
"172",936,931
"173",923,939
"174",940,938
"175",1001,929
"176",991,885
"177",976,863
"178",946,856
"179",961,918
"180",979,948
"181",941,894
"182",911,913
"183",926,964
"184",965,951
"185",951,896
"186",912,909
"187",911,950
"188",957,951
"189",953,896
"190",962,875
"191",931,907
"192",937,972
"193",925,935
"194",906,938
"195",912,953
"196",958,940
"197",955,888
"198",937,904
"199",936,921
"200",929,936
"201",909,943
"202",942,926
"203",956,903
"204",940,925
"205",903,961
"206",890,977
"207",924,981
"208",949,929
"209",933,885
"210",909,901
"211",909,926
"212",917,939
"213",916,917
"214",913,933
"215",940,957
"216",939,950
"217",930,961
"218",920,968
"219",899,965
"220",947,1001
"221",972,995
"222",927,953
"223",889,948
"224",917,965
"225",944,950
"226",947,949
"227",909,970
"228",897,985
"229",930,971
"230",959,926
"231",975,931
"232",965,970
"233",909,989
"234",893,1038
"235",963,1044
"236",985,968
"237",934,946
"238",952,956
"239",986,960
"240",984,962
"241",946,939
"242",921,973
"243",958,996
"244",998,978
"245",970,939
