"","c_d","s_d"
"1",982,1000
"2",985,990
"3",972,897
"4",904,888
"5",886,960
"6",944,986
"7",964,946
"8",946,958
"9",886,942
"10",855,980
"11",902,970
"12",971,922
"13",956,885
"14",940,925
"15",901,947
"16",918,931
"17",916,887
"18",957,923
"19",962,940
"20",991,945
"21",991,926
"22",979,930
"23",927,926
"24",927,940
"25",921,944
"26",933,972
"27",935,939
"28",947,886
"29",944,890
"30",958,923
"31",973,953
"32",999,906
"33",931,860
"34",923,883
"35",939,935
"36",912,953
"37",889,945
"38",893,920
"39",931,964
"40",983,990
"41",1023,963
"42",931,929
"43",917,943
"44",902,947
"45",924,984
"46",889,950
"47",895,944
"48",896,934
"49",912,923
"50",923,901
"51",899,930
"52",866,982
"53",912,983
"54",964,920
"55",973,867
"56",933,919
"57",904,957
"58",890,939
"59",936,927
"60",958,935
"61",935,932
"62",931,949
"63",959,938
"64",963,956
"65",896,968
"66",871,976
"67",863,948
"68",919,964
"69",967,942
"70",983,955
"71",964,942
"72",981,925
"73",961,924
"74",953,990
"75",933,987
"76",950,983
"77",985,981
"78",986,971
"79",964,965
"80",981,1002
"81",1010,1008
"82",1011,961
"83",961,932
"84",923,929
"85",893,965
"86",903,985
"87",920,993
"88",956,954
"89",954,940
"90",958,940
"91",993,955
"92",1006,924
"93",981,944
"94",958,949
"95",957,967
"96",986,962
"97",1001,937
"98",945,946
"99",924,996
"100",973,1030
"101",1042,993
"102",977,888
"103",940,890
"104",941,959
"105",982,990
"106",977,930
"107",930,905
"108",897,946
"109",924,972
"110",960,992
"111",992,984
"112",1001,1002
"113",915,964
"114",909,950
"115",949,921
"116",1020,918
"117",1004,886
"118",950,930
"119",935,927
"120",986,927
"121",1023,900
"122",979,891
"123",923,927
"124",971,965
"125",968,901
"126",936,871
"127",909,890
"128",975,937
"129",1000,919
"130",983,891
"131",983,919
"132",998,917
"133",956,869
"134",941,913
"135",939,970
"136",943,982
"137",983,960
"138",959,936
"139",974,976
"140",982,925
"141",964,932
"142",928,959
"143",939,956
"144",913,915
"145",924,907
"146",890,911
"147",935,976
"148",960,936
"149",948,907
"150",862,949
"151",910,1007
"152",970,961
"153",953,868
"154",920,863
"155",917,923
"156",894,995
"157",963,971
"158",978,895
"159",941,890
"160",930,947
"161",969,968
"162",931,917
"163",910,877
"164",909,897
"165",953,971
"166",970,986
"167",918,936
"168",883,907
"169",887,922
"170",960,941
"171",976,939
"172",972,984
"173",922,993
"174",904,1004
"175",907,1006
"176",931,990
"177",945,931
"178",959,897
"179",932,920
"180",974,990
"181",967,977
"182",914,919
"183",912,909
"184",945,929
"185",946,929
"186",941,911
"187",927,892
"188",910,958
"189",946,1010
"190",981,985
"191",987,956
"192",961,929
"193",924,933
"194",916,974
"195",963,977
"196",938,966
"197",932,962
"198",914,952
"199",971,955
"200",980,915
"201",1012,952
"202",977,966
"203",945,962
"204",930,928
"205",949,945
"206",928,979
"207",929,1007
"208",959,984
"209",975,925
"210",944,924
"211",975,950
"212",983,957
"213",964,956
"214",943,958
"215",947,945
"216",921,978
"217",927,1026
"218",975,1009
"219",987,946
"220",986,907
"221",978,932
"222",987,1008
"223",965,968
"224",914,895
"225",901,932
"226",954,984
"227",949,978
"228",963,974
"229",937,972
"230",912,980
"231",934,973
"232",989,957
"233",970,924
"234",959,949
"235",944,984
"236",954,961
"237",974,902
"238",986,897
"239",975,968
"240",1010,986
"241",1016,980
"242",982,958
"243",960,942
"244",947,912
"245",925,942
