"","TIME","cor_dFin"
"1",4.601,0.451330116565606
"2",4.60105,0.613377966719713
"3",4.6011,0.745552465183668
"4",4.60115,0.937615290585736
"5",4.6012,1.31970385849491
"6",4.60125,1.3035648201342
"7",4.6013,1.07916692374078
"8",4.60135,1.01013185041414
"9",4.6014,1.04930849140689
"10",4.60145,1.06567616603518
"11",4.6015,1.12746627019637
"12",4.60155,0.913910655802238
"13",4.6016,0.390654942309289
"14",4.60165,0.105787537318325
"15",4.6017,0.0390959299983512
"16",4.60175,0.200835277550013
"17",4.6018,0.337903822532357
"18",4.60185,0.330433613239618
"19",4.6019,0.130583438770108
"20",4.60195,0.152826826407687
"21",4.602,0.512781965428211
"22",4.60205,0.796191127661188
"23",4.6021,0.789025069520418
"24",4.60215,0.752140524276495
"25",4.6022,0.848323449249385
"26",4.60225,1.05353837092851
"27",4.6023,1.15771784939156
"28",4.60235,1.06496017536065
"29",4.6024,1.01904924526534
"30",4.60245,0.940706416298775
"31",4.6025,0.989899410692616
"32",4.60255,0.935863546177033
"33",4.6026,1.08864626598263
"34",4.60265,1.36547606190346
"35",4.6027,1.62354946635786
"36",4.60275,1.8299269007275
"37",4.6028,1.87409264450343
"38",4.60285,1.95072460941411
"39",4.6029,2.09444427743297
"40",4.60295,2.0664039120575
"41",4.603,1.63745575286394
"42",4.60305,1.2516464316984
"43",4.6031,0.85662431551147
"44",4.60315,0.62401003111474
"45",4.6032,0.733967786589782
"46",4.60325,0.806983483046581
"47",4.6033,0.860688037039264
"48",4.60335,0.907053638308854
"49",4.6034,0.679080951935406
"50",4.60345,0.253659216551907
"51",4.6035,0.601251834175257
"52",4.60355,1.33140910152606
"53",4.6036,1.67713245412207
"54",4.60365,1.4390762790594
"55",4.6037,1.16387879939981
"56",4.60375,0.950451427662694
"57",4.6038,1.1649370038276
"58",4.60385,1.6580412438068
"59",4.6039,1.65360237130428
"60",4.60395,1.57682605804349
"61",4.604,1.40652892703878
"62",4.60405,1.11918447964437
"63",4.6041,0.854549300943569
"64",4.60415,0.85448178739958
"65",4.6042,1.2606439865009
"66",4.60425,1.55216320641842
"67",4.6043,1.42784923154005
"68",4.60435,1.22333785560497
"69",4.6044,1.17505875367107
"70",4.60445,0.90577432685646
"71",4.6045,0.694789027349765
"72",4.60455,0.505158109674182
"73",4.6046,0.115674992292094
"74",4.60465,0.46482724337308
"75",4.6047,0.847789833573701
"76",4.60475,0.782421781049994
"77",4.6048,0.541341241922146
"78",4.60485,0.555810791603278
"79",4.6049,0.630342578238244
"80",4.60495,0.545741588565092
"81",4.605,0.557788127942464
"82",4.60505,0.562321947823977
"83",4.6051,0.680974230536276
"84",4.60515,0.892590300493938
"85",4.6052,1.02317436205114
"86",4.60525,1.04588182066629
"87",4.6053,1.36561461855908
"88",4.60535,1.59097520802739
"89",4.6054,1.59099657069193
"90",4.60545,1.46305643793288
"91",4.6055,1.53911186385385
"92",4.60555,1.57255254275935
"93",4.6056,1.24832541297999
"94",4.60565,0.759467226827114
"95",4.6057,0.243719633851256
"96",4.60575,0.0711531702154614
"97",4.6058,0.365333229120867
"98",4.60585,0.389763297731477
"99",4.6059,0.232696537674006
"100",4.60595,0.337392662361792
"101",4.606,0.50213382046059
"102",4.60605,0.745263514752808
"103",4.6061,0.916358362161512
"104",4.60615,0.886394913466384
"105",4.6062,0.680025177231245
"106",4.60625,0.731944402498087
"107",4.6063,1.13065141076072
"108",4.60635,1.47563211387128
"109",4.6064,1.30132250134148
"110",4.60645,0.687596447294441
"111",4.6065,0.331444198042432
"112",4.60655,0.209197092704649
"113",4.6066,0.171297672116317
"114",4.60665,0.672236526901174
"115",4.6067,0.97049417752068
"116",4.60675,0.970701466402617
"117",4.6068,0.779062671219343
"118",4.60685,0.575431011050988
"119",4.6069,0.545445154948245
"120",4.60695,0.212935108954169
"121",4.607,0.396212647885136
"122",4.60705,0.728887639822038
"123",4.6071,0.582192941063055
"124",4.60715,0.459479921249252
"125",4.6072,0.416319834458035
"126",4.60725,0.376820892578791
"127",4.6073,0.75556470600119
"128",4.60735,1.11529242767926
"129",4.6074,1.38717064287024
"130",4.60745,1.31936801222512
"131",4.6075,1.11101449792328
"132",4.60755,0.82231880619861
"133",4.6076,0.66717173311699
"134",4.60765,0.401324912532318
"135",4.6077,0.356764307804565
"136",4.60775,0.665996136571088
"137",4.6078,0.868990911581878
"138",4.60785,0.890989817581217
"139",4.6079,0.838708958961104
"140",4.60795,0.582946304116058
"141",4.608,0.47715995382225
"142",4.60805,0.740355632113115
"143",4.6081,0.983901381506878
"144",4.60815,0.938852071567124
"145",4.6082,0.632216512461651
"146",4.60825,0.3169080769007
"147",4.6083,0.235134896933188
"148",4.60835,0.629060098469335
"149",4.6084,1.09455616156196
"150",4.60845,1.34466707189583
"151",4.6085,1.42219219712239
"152",4.60855,1.34984014536797
"153",4.6086,1.10545306527988
"154",4.60865,0.633683433983365
"155",4.6087,0.0340576862440918
"156",4.60875,0.264784905356376
"157",4.6088,0.424111426071278
"158",4.60885,0.580530281590999
"159",4.6089,0.737636346275013
"160",4.60895,0.788504989811194
"161",4.609,0.603484627525959
"162",4.60905,0.506221168293565
"163",4.6091,0.533823816664444
"164",4.60915,0.765347980615669
"165",4.6092,0.835216705408973
"166",4.60925,0.996959325933199
"167",4.6093,0.995089934861034
"168",4.60935,0.668315992820741
"169",4.6094,0.192925140136168
"170",4.60945,0.652904439582147
"171",4.6095,0.94383266636013
"172",4.60955,1.22854981905634
"173",4.6096,1.18775596981382
"174",4.60965,0.912683398881444
