"","c_d","s_d"
"1",822,1011
"2",902,1025
"3",876,1027
"4",951,993
"5",929,1017
"6",949,986
"7",868,945
"8",948,1019
"9",972,1018
"10",987,1024
"11",924,1009
"12",894,864
"13",1005,1036
"14",1010,937
"15",1023,1043
"16",986,925
"17",1014,989
"18",995,982
"19",946,1006
"20",993,1053
"21",1014,1064
"22",969,1025
"23",935,1024
"24",980,1048
"25",1021,1061
"26",996,990
"27",1019,1022
"28",1007,1012
"29",984,986
"30",990,1005
"31",1019,1035
"32",971,943
"33",892,944
"34",902,977
"35",949,985
"36",958,1007
"37",878,952
"38",862,975
"39",894,994
"40",910,915
"41",906,1003
"42",944,976
"43",975,1036
"44",953,998
"45",872,974
"46",946,994
"47",811,944
"48",941,1029
"49",1000,1013
"50",1024,1050
"51",1009,1029
"52",1000,1024
"53",906,914
"54",949,999
"55",986,1040
"56",920,870
"57",986,1025
"58",1001,999
"59",913,884
"60",955,1002
"61",920,1025
"62",885,878
"63",840,953
"64",834,997
"65",809,774
"66",965,1054
"67",1001,1043
"68",992,1055
"69",926,1040
"70",931,889
"71",923,1017
"72",961,1005
"73",1000,1005
"74",956,950
"75",871,858
"76",913,930
"77",907,966
"78",924,938
"79",926,976
"80",916,895
"81",841,802
"82",929,1004
"83",769,987
"84",911,1017
"85",844,958
"86",983,1049
"87",1017,1039
"88",1024,1048
"89",1042,1055
"90",1024,979
"91",1030,1022
"92",1012,988
"93",1055,1022
"94",997,964
"95",913,1012
"96",927,1010
"97",821,1013
"98",844,1017
"99",964,1022
"100",944,953
"101",911,1002
"102",931,923
"103",894,963
"104",894,971
"105",975,1001
"106",992,1017
"107",933,1027
"108",983,939
"109",938,786
"110",948,947
"111",921,1032
"112",967,1003
"113",896,1008
"114",956,1031
"115",985,1026
"116",983,1029
"117",956,955
"118",960,976
"119",1020,1019
"120",971,961
"121",981,995
"122",983,975
"123",814,758
"124",941,1014
"125",859,1040
"126",963,1048
"127",1007,1061
"128",1020,998
"129",942,822
"130",980,1015
"131",1002,1028
"132",1001,1009
"133",1014,1021
"134",1000,1020
"135",924,889
"136",919,1003
"137",792,979
"138",872,991
"139",769,978
"140",870,928
"141",881,1022
"142",851,846
"143",821,743
"144",952,885
"145",1005,1033
"146",985,1013
"147",991,1036
"148",877,828
"149",883,938
"150",965,1005
"151",935,1007
"152",938,920
"153",979,955
"154",998,1019
"155",923,992
"156",943,975
"157",990,1037
"158",978,997
"159",938,984
"160",955,994
"161",895,955
"162",881,920
"163",831,883
"164",924,1027
"165",893,1017
"166",952,1029
"167",952,1011
"168",913,966
"169",879,981
"170",945,1017
"171",880,984
"172",953,985
"173",943,973
"174",948,987
"175",911,1002
"176",919,982
"177",813,998
"178",907,1041
"179",958,1009
"180",997,1011
"181",969,1009
"182",902,900
"183",987,1020
"184",1021,1014
"185",1027,1000
"186",986,984
"187",999,1027
"188",962,950
"189",854,986
"190",898,949
"191",926,1037
"192",953,1013
"193",858,962
"194",932,1030
"195",995,1081
"196",930,896
"197",839,775
"198",952,998
"199",897,998
"200",920,989
"201",823,819
"202",917,978
"203",1003,1045
"204",1014,975
"205",1027,1015
"206",991,928
"207",1009,1013
"208",936,953
"209",786,840
"210",895,910
"211",914,1027
"212",842,895
"213",962,963
"214",990,984
"215",981,1032
"216",914,834
"217",994,1016
"218",992,971
"219",1002,954
"220",922,882
"221",1019,1010
"222",1005,1001
"223",998,1037
"224",975,953
"225",903,994
"226",899,1019
"227",848,948
"228",939,1025
"229",908,1028
"230",935,993
"231",907,1043
"232",965,905
"233",916,887
"234",926,939
"235",1003,1038
"236",999,969
"237",1009,863
"238",1009,1028
"239",977,1006
"240",893,925
"241",985,1031
"242",947,879
"243",954,1036
"244",980,1009
"245",929,1027
