"","c_d","s_d"
"1",1664,1626
"2",1759,1311
"3",1934,1067
"4",1983,1194
"5",2016,1485
"6",1742,1576
"7",1348,1305
"8",1063,955
"9",1038,711
"10",1272,638
"11",1567,633
"12",1647,841
"13",1460,997
"14",1151,927
"15",1047,632
"16",1218,434
"17",1371,719
"18",904,713
"19",897,804
"20",739,1152
"21",630,1427
"22",587,1615
"23",459,1611
"24",429,1350
"25",684,1143
"26",1036,1155
"27",1148,1301
"28",1061,1328
"29",938,1096
"30",899,789
"31",875,690
"32",790,748
"33",776,727
"34",876,776
"35",876,1066
"36",716,1542
"37",557,1757
"38",639,1735
"39",856,1560
"40",1036,1252
"41",1060,887
"42",928,754
"43",701,749
"44",500,767
"45",370,696
"46",470,626
"47",690,550
"48",967,508
"49",876,795
"50",764,1138
"51",716,1086
"52",767,740
"53",976,614
"54",1303,776
"55",1493,991
"56",1493,1185
"57",1399,1434
"58",1343,1408
"59",1473,1300
"60",1705,1420
"61",1788,1747
"62",1655,2095
"63",1374,2098
"64",1191,1786
"65",1227,1381
"66",748,940
"67",299,988
"68",230,1236
"69",255,1330
"70",459,1094
"71",749,404
"72",1386,-42
"73",2357,-206
"74",2557,449
"75",2440,1150
"76",1877,1329
"77",1241,898
"78",971,496
"79",1051,580
"80",1259,1034
"81",1236,1308
"82",1006,1223
"83",978,1169
"84",1124,1294
"85",1296,1419
"86",1524,1461
"87",1822,1515
"88",2120,1662
"89",1670,1809
"90",1102,1521
"91",962,1005
"92",939,779
"93",880,759
"94",702,786
"95",575,821
"96",510,915
"97",346,959
"98",69,807
"99",-57,435
"100",102,231
"101",409,389
"102",548,535
"103",577,543
"104",691,414
"105",964,296
"106",1054,617
"107",851,942
"108",1049,881
"109",1260,759
"110",1450,662
"111",1750,653
"112",1850,913
"113",1655,1037
"114",1298,1081
"115",1077,1181
"116",1003,1311
"117",967,1403
"118",985,1418
"119",1154,1432
"120",1478,1575
"121",1739,1754
"122",1795,1863
"123",1717,1814
"124",1690,1844
"125",1735,1885
"126",1809,1841
"127",1897,1711
"128",1978,1701
"129",1788,1686
"130",1492,1510
"131",1295,1043
"132",737,583
"133",712,821
"134",906,1500
"135",785,1995
"136",494,2004
"137",202,1771
"138",102,1340
"139",809,1330
"140",1057,1524
"141",1113,1628
"142",1150,1432
"143",1150,1081
"144",794,904
"145",366,906
"146",546,890
"147",743,960
"148",961,1049
"149",1076,976
"150",1122,731
"151",1994,855
"152",1860,1050
"153",1720,1200
"154",1526,1398
"155",1235,1546
"156",916,1652
"157",729,1588
"158",881,1478
"159",1096,1540
"160",1351,1757
"161",1391,1915
"162",815,2054
"163",323,2007
"164",446,1703
"165",576,1485
"166",651,1374
"167",680,1255
"168",744,1200
"169",763,1250
"170",688,1388
"171",603,1470
"172",640,1461
"173",940,1346
"174",1515,1184
"175",1740,1152
"176",1711,1236
"177",1750,1123
"178",1715,1242
"179",1456,1419
"180",1118,1636
"181",907,1834
"182",876,1893
"183",969,1945
"184",1012,2123
"185",930,2342
"186",938,2236
"187",1204,2108
"188",1284,2120
"189",1089,1980
"190",1040,1667
"191",1147,1332
"192",1133,1074
"193",717,1124
"194",931,1359
"195",969,1311
"196",829,1290
"197",662,1400
"198",489,1459
"199",345,1449
"200",382,1519
"201",461,1584
"202",465,1339
"203",505,862
"204",1321,836
"205",1462,1103
"206",1500,1238
"207",1700,1320
"208",1939,1496
"209",2036,1600
"210",2016,1584
"211",1975,1396
"212",1506,1002
"213",989,578
"214",996,482
"215",1217,627
"216",1345,1286
"217",1333,1821
"218",1283,1983
"219",1196,1936
"220",1116,1879
"221",850,1618
"222",38,1165
"223",143,950
"224",202,892
"225",89,1103
"226",116,1418
"227",148,1561
"228",168,1489
"229",201,1347
"230",293,1381
"231",639,1530
"232",733,1523
"233",792,1214
"234",1613,967
"235",1871,946
"236",1974,1137
"237",1999,1322
"238",1867,1372
"239",1816,1332
"240",1680,1385
"241",1066,1475
"242",1147,1441
"243",1123,1284
"244",1061,1110
"245",947,899
