"","c_d","s_d"
"1",1554,171
"2",1506,643
"3",1108,1056
"4",719,843
"5",581,720
"6",581,734
"7",527,938
"8",638,822
"9",1023,251
"10",1330,34
"11",1670,99
"12",1749,357
"13",1579,544
"14",1449,518
"15",1544,429
"16",1660,514
"17",1559,693
"18",1345,747
"19",1339,763
"20",1321,1513
"21",1019,1569
"22",833,1514
"23",756,1659
"24",710,1987
"25",411,2127
"26",185,1978
"27",327,1806
"28",515,1749
"29",469,1683
"30",484,1546
"31",785,1543
"32",1372,1492
"33",1383,1087
"34",1280,996
"35",1188,1043
"36",1153,1062
"37",1178,1158
"38",1240,1429
"39",1232,1856
"40",778,1957
"41",432,2002
"42",386,2000
"43",411,1780
"44",567,1516
"45",750,1429
"46",770,1354
"47",618,1229
"48",277,998
"49",31,779
"50",75,673
"51",255,691
"52",486,893
"53",537,1163
"54",525,1280
"55",551,1127
"56",1086,902
"57",1463,417
"58",1611,105
"59",1696,142
"60",1678,181
"61",1497,116
"62",1117,269
"63",868,537
"64",755,693
"65",808,689
"66",914,634
"67",963,695
"68",879,778
"69",682,766
"70",408,631
"71",324,535
"72",444,541
"73",658,699
"74",866,877
"75",1044,888
"76",1090,778
"77",963,648
"78",690,593
"79",575,498
"80",488,282
"81",514,5
"82",623,-141
"83",795,-74
"84",1077,214
"85",1333,500
"86",1361,1154
"87",1191,1707
"88",1231,1830
"89",1228,1885
"90",1177,1687
"91",989,1334
"92",1135,606
"93",1756,17
"94",1690,231
"95",1152,450
"96",625,449
"97",504,462
"98",648,599
"99",899,731
"100",1135,695
"101",1334,626
"102",1399,651
"103",1369,736
"104",1313,854
"105",1235,945
"106",1107,898
"107",1025,643
"108",1160,364
"109",1560,298
"110",1707,443
"111",1725,464
"112",1639,178
"113",1580,-131
"114",1617,-26
"115",1703,441
"116",1548,1418
"117",1160,1457
"118",954,1445
"119",719,1498
"120",405,1377
"121",226,1167
"122",618,866
"123",1335,659
"124",1617,847
"125",1563,892
"126",1363,644
"127",1220,376
"128",1083,249
"129",967,218
"130",986,88
"131",1101,207
"132",995,505
"133",775,687
"134",702,544
"135",869,413
"136",1003,427
"137",904,336
"138",714,25
"139",838,-147
"140",1052,638
"141",875,1579
"142",568,1813
"143",384,1694
"144",477,1511
"145",548,1551
"146",498,1714
"147",379,1763
"148",410,1877
"149",631,2087
"150",816,2136
"151",942,1891
"152",1103,1533
"153",1225,1357
"154",1194,1400
"155",1001,1435
"156",867,1403
"157",841,1369
"158",845,1353
"159",776,1358
"160",673,1325
"161",698,1218
"162",981,1114
"163",1301,1143
"164",1474,1268
"165",1507,1318
"166",1571,1376
"167",1472,1557
"168",1279,1764
"169",1155,1700
"170",1478,1275
"171",1704,444
"172",1726,215
"173",1828,401
"174",2052,618
"175",2103,777
"176",1879,842
"177",1863,723
"178",1716,491
"179",1455,290
"180",1107,304
"181",822,373
"182",723,1116
"183",539,1823
"184",316,1870
"185",157,1865
"186",304,1895
"187",501,1872
"188",873,1257
"189",1574,745
"190",1915,668
"191",1936,638
"192",1588,602
"193",1085,483
"194",794,248
"195",828,34
"196",966,-124
"197",1110,-237
"198",1156,-195
"199",1196,58
"200",1158,555
"201",1001,975
"202",682,1048
"203",688,797
"204",992,487
"205",1235,436
"206",1159,596
"207",1005,687
"208",960,636
"209",1093,657
"210",1176,724
"211",1242,717
"212",1209,1406
"213",786,1625
"214",345,1584
"215",115,1558
"216",241,1669
"217",471,1933
"218",1248,1884
"219",1669,1509
"220",1716,1287
"221",1821,957
"222",1836,581
"223",1796,520
"224",1793,671
"225",1497,1547
"226",891,1873
"227",442,1796
"228",323,1621
"229",500,1520
"230",894,1193
"231",1623,729
"232",1780,530
"233",1659,339
"234",1452,122
"235",1317,82
"236",1241,181
"237",1190,442
"238",1144,600
"239",1193,610
"240",1351,544
"241",1482,664
"242",1163,1192
"243",608,928
"244",300,798
"245",141,637
