"","c_d","s_d"
"1",1295,859
"2",1715,814
"3",1819,1046
"4",1602,1143
"5",1335,882
"6",621,690
"7",888,656
"8",1129,856
"9",1140,1076
"10",1156,1255
"11",1194,1411
"12",1261,1599
"13",1436,958
"14",1744,623
"15",1914,457
"16",2049,626
"17",1924,648
"18",1644,476
"19",1282,435
"20",1060,452
"21",930,499
"22",745,506
"23",453,484
"24",311,1286
"25",448,1848
"26",513,2085
"27",386,2058
"28",421,1895
"29",642,1888
"30",820,2103
"31",689,2374
"32",449,2492
"33",255,2420
"34",306,2157
"35",557,2022
"36",810,2102
"37",825,2211
"38",739,2267
"39",559,2384
"40",434,2417
"41",361,2231
"42",293,2083
"43",196,1907
"44",187,1571
"45",246,1242
"46",321,929
"47",394,707
"48",486,649
"49",484,815
"50",466,993
"51",504,1184
"52",639,1354
"53",784,1582
"54",790,1828
"55",594,1934
"56",446,1858
"57",372,1712
"58",288,1535
"59",271,891
"60",536,440
"61",1001,433
"62",1364,422
"63",1446,511
"64",1554,511
"65",1362,625
"66",797,1404
"67",967,2122
"68",1131,2365
"69",1247,2495
"70",1483,1831
"71",1656,1117
"72",1713,862
"73",1527,950
"74",1177,1107
"75",973,1224
"76",1006,1362
"77",1084,1541
"78",1118,1700
"79",1044,1824
"80",959,1948
"81",811,2027
"82",596,2035
"83",346,1859
"84",389,1511
"85",679,1339
"86",794,1405
"87",914,1462
"88",952,1336
"89",1035,432
"90",1334,163
"91",1566,458
"92",1427,684
"93",1165,605
"94",1194,405
"95",1466,412
"96",1654,562
"97",1674,632
"98",1772,624
"99",1881,602
"100",1862,564
"101",1821,479
"102",1785,342
"103",1677,244
"104",1587,262
"105",1688,306
"106",1873,441
"107",2027,579
"108",2114,599
"109",2262,442
"110",2394,325
"111",2421,368
"112",2250,536
"113",2067,701
"114",1941,883
"115",1809,951
"116",1701,840
"117",1677,597
"118",1710,389
"119",1604,366
"120",1033,826
"121",832,1565
"122",665,1820
"123",616,1743
"124",703,1661
"125",805,1695
"126",743,1850
"127",452,1861
"128",214,1485
"129",314,1026
"130",693,919
"131",939,1090
"132",864,1380
"133",670,1465
"134",693,1248
"135",978,1102
"136",1332,1236
"137",1489,1459
"138",1543,1614
"139",1530,1576
"140",1497,1369
"141",1464,988
"142",1549,663
"143",1729,618
"144",1758,933
"145",1543,1278
"146",1231,1402
"147",1022,1288
"148",956,1185
"149",920,1293
"150",944,691
"151",1155,570
"152",1259,609
"153",1306,603
"154",1505,532
"155",1823,531
"156",2087,702
"157",1917,813
"158",1776,687
"159",1798,464
"160",1821,226
"161",1848,173
"162",1888,361
"163",1972,590
"164",1700,611
"165",1360,473
"166",1092,326
"167",925,334
"168",437,719
"169",259,1592
"170",238,1929
"171",326,1744
"172",530,1440
"173",638,1192
"174",505,860
"175",572,257
"176",913,193
"177",1124,135
"178",1332,108
"179",1708,44
"180",1990,161
"181",1938,294
"182",1758,359
"183",1907,449
"184",1906,688
"185",1698,1002
"186",1402,1160
"187",1199,1213
"188",1203,934
"189",1395,740
"190",1527,655
"191",1344,714
"192",948,1205
"193",925,1584
"194",967,1521
"195",1137,1429
"196",1208,1447
"197",957,1423
"198",630,1245
"199",423,952
"200",442,557
"201",772,511
"202",1022,602
"203",1139,794
"204",1146,1362
"205",826,1840
"206",577,2001
"207",423,2025
"208",403,2010
"209",482,1981
"210",824,1558
"211",1360,1224
"212",1718,1223
"213",1687,1023
"214",1463,590
"215",1423,262
"216",1557,108
"217",1697,153
"218",1904,405
"219",2006,654
"220",1894,671
"221",1759,482
"222",1640,341
"223",1436,444
"224",1034,569
"225",616,597
"226",493,562
"227",670,501
"228",935,424
"229",1265,201
"230",1584,29
"231",1732,46
"232",1395,150
"233",654,122
"234",-155,457
"235",-226,1224
"236",-226,1666
"237",-166,1953
"238",-50,1987
"239",120,2005
"240",612,1691
"241",1492,1169
"242",1881,1137
"243",1969,1048
"244",2038,929
"245",1840,969
