"","c_d","s_d"
"1",1385,1732
"2",1173,1791
"3",857,1771
"4",729,1663
"5",779,1431
"6",907,1003
"7",1008,591
"8",1136,561
"9",1182,820
"10",1159,1267
"11",1097,1056
"12",975,1003
"13",821,1109
"14",661,1089
"15",648,882
"16",829,619
"17",1128,523
"18",1229,609
"19",1167,734
"20",991,635
"21",847,325
"22",827,48
"23",866,-45
"24",850,35
"25",861,146
"26",822,182
"27",836,218
"28",922,258
"29",1153,307
"30",1188,286
"31",1095,287
"32",1016,165
"33",1068,96
"34",1104,218
"35",1095,455
"36",1067,654
"37",1081,672
"38",1101,614
"39",1150,727
"40",1073,997
"41",861,1164
"42",655,1066
"43",635,803
"44",844,527
"45",1173,383
"46",1634,804
"47",1667,1365
"48",1436,1305
"49",1227,1294
"50",1043,1382
"51",975,1549
"52",1045,1561
"53",1228,930
"54",1270,937
"55",1260,904
"56",1236,990
"57",1118,1106
"58",983,1093
"59",1002,944
"60",1190,795
"61",1389,719
"62",1377,611
"63",1234,276
"64",1238,-162
"65",1537,-363
"66",1624,-207
"67",1669,165
"68",1384,345
"69",1129,249
"70",1181,279
"71",1345,608
"72",1413,920
"73",1514,922
"74",1675,761
"75",1842,702
"76",1875,898
"77",1784,1073
"78",1349,822
"79",982,936
"80",607,1237
"81",207,1400
"82",116,1118
"83",465,910
"84",1000,1230
"85",1143,1847
"86",928,2038
"87",666,1928
"88",699,1565
"89",835,1590
"90",756,1895
"91",396,2014
"92",119,1836
"93",106,1722
"94",293,1900
"95",345,2193
"96",245,2240
"97",211,2189
"98",466,1877
"99",755,1793
"100",875,1842
"101",810,1685
"102",781,1366
"103",858,1242
"104",924,1432
"105",850,1762
"106",1031,2052
"107",1432,1512
"108",1528,1010
"109",1287,733
"110",1052,284
"111",962,-264
"112",872,-512
"113",854,-512
"114",927,-393
"115",963,290
"116",733,822
"117",457,963
"118",428,838
"119",617,695
"120",782,538
"121",1005,548
"122",1358,758
"123",1541,932
"124",1662,1039
"125",1802,1029
"126",1843,1025
"127",1619,1092
"128",1218,1154
"129",886,1098
"130",787,1018
"131",859,980
"132",890,926
"133",879,889
"134",825,926
"135",721,1014
"136",649,1252
"137",633,2327
"138",455,2556
"139",303,2499
"140",446,2079
"141",882,1706
"142",1304,1630
"143",1451,1704
"144",1263,1683
"145",781,1403
"146",510,1142
"147",500,1177
"148",540,1392
"149",363,1654
"150",212,1805
"151",331,1762
"152",742,1682
"153",1077,1688
"154",1299,1755
"155",1570,1192
"156",1833,582
"157",1954,644
"158",1828,919
"159",1452,1172
"160",1074,1101
"161",1222,798
"162",1301,1028
"163",1190,1093
"164",1099,1321
"165",963,1612
"166",813,1792
"167",608,1834
"168",501,1829
"169",599,1807
"170",892,1835
"171",1194,1989
"172",1326,2087
"173",1154,2077
"174",831,1988
"175",531,1510
"176",404,1102
"177",402,1098
"178",694,1187
"179",918,508
"180",987,590
"181",1081,756
"182",1033,901
"183",829,895
"184",762,708
"185",1026,535
"186",1342,520
"187",1484,617
"188",1404,639
"189",1287,545
"190",1218,559
"191",1168,713
"192",1050,935
"193",997,1055
"194",1117,966
"195",1353,795
"196",1616,649
"197",1578,1288
"198",1173,1650
"199",759,1707
"200",667,1541
"201",622,1432
"202",663,1343
"203",715,1228
"204",807,1214
"205",863,1331
"206",817,1433
"207",810,1492
"208",959,1553
"209",1117,1574
"210",1285,1562
"211",1374,1514
"212",1351,1490
"213",1213,1495
"214",1063,1485
"215",975,1390
"216",974,1348
"217",998,1467
"218",1042,1609
"219",1068,1684
"220",1319,1666
"221",1516,971
"222",1372,1093
"223",1108,1217
"224",1048,1136
"225",1291,1003
"226",1704,687
"227",2037,962
"228",1981,1517
"229",1696,1603
"230",1344,1698
"231",974,1642
"232",851,1335
"233",1092,359
"234",1526,99
"235",1884,-12
"236",2000,10
"237",1937,121
"238",1823,499
"239",1635,779
"240",1087,1639
"241",447,1768
"242",140,1747
"243",31,1765
"244",-11,1708
"245",39,1712
