"","c_d","s_d"
"1",402,918
"2",262,883
"3",356,765
"4",597,478
"5",1316,518
"6",1898,1047
"7",1843,1418
"8",1791,1486
"9",1783,1371
"10",1689,1183
"11",1551,889
"12",1520,736
"13",1628,752
"14",1696,879
"15",1626,845
"16",1428,705
"17",316,545
"18",165,743
"19",45,904
"20",38,908
"21",60,910
"22",327,1016
"23",583,1111
"24",711,1148
"25",748,1032
"26",750,845
"27",834,799
"28",876,1116
"29",691,1588
"30",412,1861
"31",285,1699
"32",407,1318
"33",693,1035
"34",889,1006
"35",849,1166
"36",558,1355
"37",168,1361
"38",-32,1245
"39",76,1172
"40",146,1240
"41",176,1498
"42",146,1883
"43",46,2024
"44",-62,2092
"45",-88,2053
"46",64,1898
"47",281,1855
"48",483,1869
"49",491,1939
"50",412,1982
"51",418,1840
"52",1026,1303
"53",1860,1138
"54",1899,1231
"55",1752,1139
"56",1650,891
"57",1757,582
"58",1790,303
"59",1091,456
"60",794,581
"61",935,637
"62",1115,888
"63",1068,1123
"64",1052,1083
"65",817,728
"66",564,379
"67",430,369
"68",274,834
"69",58,1381
"70",-84,1572
"71",17,1669
"72",46,1603
"73",169,1571
"74",314,1641
"75",298,1596
"76",126,1744
"77",-23,1684
"78",-33,1246
"79",291,857
"80",664,808
"81",811,908
"82",1144,877
"83",1566,1105
"84",1511,1376
"85",1584,1490
"86",1711,1545
"87",1827,1454
"88",1813,1166
"89",1768,672
"90",1819,376
"91",1957,328
"92",1971,503
"93",1770,579
"94",1638,636
"95",1714,736
"96",1807,825
"97",1929,731
"98",2077,584
"99",2227,515
"100",2299,527
"101",2220,569
"102",1837,655
"103",1433,469
"104",1315,335
"105",1432,428
"106",1461,736
"107",1265,961
"108",1088,1052
"109",1088,998
"110",1195,1147
"111",1108,1352
"112",655,1221
"113",34,844
"114",-266,459
"115",-130,309
"116",97,278
"117",347,396
"118",672,777
"119",797,1265
"120",676,1571
"121",464,1551
"122",325,1397
"123",314,1203
"124",384,1050
"125",445,1008
"126",311,976
"127",105,894
"128",-27,700
"129",-33,618
"130",-18,713
"131",-11,897
"132",7,1032
"133",145,1161
"134",366,1374
"135",453,1533
"136",326,1547
"137",74,1254
"138",-92,912
"139",-1,752
"140",112,693
"141",-8,808
"142",369,740
"143",926,680
"144",1084,751
"145",1326,971
"146",1765,1352
"147",1837,1489
"148",1615,1248
"149",1458,678
"150",1404,224
"151",1411,258
"152",1460,532
"153",1380,780
"154",1236,1095
"155",1191,1315
"156",1193,1441
"157",1119,1437
"158",958,1275
"159",950,1028
"160",1018,802
"161",681,1013
"162",659,1370
"163",713,1499
"164",863,1444
"165",1112,1281
"166",1277,1071
"167",1350,829
"168",1984,892
"169",1747,1104
"170",1459,1317
"171",1120,1319
"172",826,1056
"173",786,750
"174",921,647
"175",1150,819
"176",1336,1164
"177",1310,1382
"178",1134,1405
"179",1096,1321
"180",1312,1230
"181",1657,1143
"182",1949,1196
"183",1995,1270
"184",1809,1132
"185",950,713
"186",711,723
"187",646,947
"188",439,1113
"189",243,1057
"190",232,887
"191",376,949
"192",399,1222
"193",210,1400
"194",-42,1314
"195",-196,1174
"196",-278,977
"197",-225,708
"198",30,520
"199",370,528
"200",548,604
"201",407,613
"202",185,267
"203",1006,137
"204",1210,346
"205",1435,678
"206",1438,1035
"207",1327,1099
"208",1309,927
"209",1398,709
"210",1514,793
"211",1559,1084
"212",1569,1378
"213",1565,1446
"214",1566,1418
"215",1511,1337
"216",1431,1270
"217",1394,1136
"218",1438,1016
"219",1536,985
"220",1580,1186
"221",1495,1448
"222",1291,1606
"223",1120,1517
"224",1086,1278
"225",1147,963
"226",951,560
"227",62,289
"228",-73,375
"229",-126,395
"230",-88,657
"231",-81,1065
"232",-114,1181
"233",545,1166
"234",1238,1336
"235",1586,1464
"236",1826,1562
"237",1856,1395
"238",1378,755
"239",507,567
"240",262,703
"241",127,851
"242",191,925
"243",367,965
"244",539,758
"245",1228,630
