"Max_SNR" "day_in_decimal"
3.30016065249443 7.05659722222222
0 7.05648148148148
3.35406629779378 7.05636574074074
3.52250233592024 7.05625
3.66443644006894 7.05613425925926
0 7.05601851851852
3.36442120799219 7.05590277777778
4.22967415315012 7.05578703703704
3.24253365483667 7.0556712962963
3.04089444838276 7.05555555555556
3.05017158983617 7.05543981481481
3.16788429959492 7.05532407407407
3.97026062670422 7.05520833333333
3.23305491608643 7.05509259259259
3.28308226059715 7.05497685185185
3.74698675771564 7.05486111111111
3.29348351927735 7.05474537037037
3.95512295366141 7.05462962962963
3.29917356427889 7.05451388888889
0 7.05439814814815
0 7.05428240740741
3.83016181181158 7.05416666666667
3.27156312784361 7.05405092592593
4.03659179782327 7.05393518518519
3.3705195050678 7.05381944444444
3.68965728684349 7.0537037037037
3.28742562406805 7.05347222222222
