"","c_d","s_d"
"1",-307,1349
"2",-407,1270
"3",-227,1450
"4",-57,1690
"5",36,1694
"6",163,1532
"7",293,1257
"8",416,828
"9",543,471
"10",549,524
"11",274,554
"12",-197,494
"13",-434,488
"14",-315,547
"15",-40,889
"16",138,1345
"17",213,1591
"18",289,1445
"19",1419,1394
"20",1572,1247
"21",1607,1048
"22",1648,888
"23",1714,798
"24",1778,972
"25",1762,1507
"26",767,1661
"27",597,1468
"28",591,1290
"29",507,1268
"30",337,1310
"31",186,1297
"32",144,1189
"33",184,1065
"34",271,960
"35",334,970
"36",513,1124
"37",776,1391
"38",909,1622
"39",760,1609
"40",588,1432
"41",567,1347
"42",1064,1415
"43",1751,1511
"44",1751,1516
"45",1715,1222
"46",1692,760
"47",1742,368
"48",1771,301
"49",1613,372
"50",1296,358
"51",1009,200
"52",857,74
"53",903,130
"54",1038,447
"55",1161,730
"56",1172,628
"57",1134,407
"58",1061,454
"59",953,859
"60",746,1634
"61",320,1931
"62",-83,1869
"63",94,1606
"64",261,1250
"65",377,1130
"66",356,1201
"67",211,1236
"68",85,1072
"69",107,740
"70",236,400
"71",374,286
"72",378,178
"73",370,65
"74",481,33
"75",702,340
"76",776,749
"77",593,951
"78",331,1012
"79",139,1069
"80",-14,1248
"81",-96,1471
"82",41,1584
"83",174,1595
"84",299,1455
"85",1029,1084
"86",1617,541
"87",1777,226
"88",2036,308
"89",2277,567
"90",2333,891
"91",2262,1370
"92",1417,1534
"93",865,1487
"94",500,1365
"95",348,1152
"96",397,1055
"97",1095,1403
"98",1486,1427
"99",1430,1075
"100",1622,729
"101",1993,804
"102",2115,1280
"103",1930,1652
"104",1035,1422
"105",877,1060
"106",939,1163
"107",909,1606
"108",986,1907
"109",928,1688
"110",954,1251
"111",982,920
"112",845,873
"113",573,963
"114",335,966
"115",1006,848
"116",1446,750
"117",1719,845
"118",1919,913
"119",2057,835
"120",2202,818
"121",2100,825
"122",2062,899
"123",1908,1024
"124",1603,1182
"125",1346,1402
"126",623,1591
"127",259,1538
"128",496,1547
"129",708,1638
"130",792,1582
"131",728,1266
"132",630,957
"133",556,856
"134",486,852
"135",529,787
"136",697,769
"137",806,919
"138",660,1123
"139",349,1223
"140",78,1229
"141",43,1239
"142",130,1212
"143",140,1184
"144",146,966
"145",1004,988
"146",1145,1042
"147",1405,1136
"148",1723,1366
"149",1782,1489
"150",1599,1343
"151",1445,906
"152",1512,540
"153",1662,524
"154",1768,958
"155",1640,1794
"156",1235,2306
"157",448,2201
"158",223,1939
"159",200,1681
"160",167,1748
"161",55,1988
"162",16,1960
"163",233,1618
"164",664,1249
"165",1091,1108
"166",1158,1393
"167",817,1856
"168",370,1990
"169",54,1732
"170",30,1412
"171",186,1196
"172",366,1019
"173",509,825
"174",659,510
"175",1425,537
"176",1297,763
"177",1227,848
"178",1183,641
"179",1288,267
"180",1561,131
"181",1777,266
"182",1695,403
"183",1485,305
"184",1375,217
"185",1428,449
"186",1472,1086
"187",843,1366
"188",456,1478
"189",446,1168
"190",614,977
"191",796,977
"192",796,1063
"193",1452,1105
"194",1613,946
"195",1463,772
"196",1318,626
"197",1329,550
"198",1472,703
"199",1661,1192
"200",1024,1446
"201",1004,1311
"202",1151,1171
"203",1156,1163
"204",945,1155
"205",1351,1126
"206",1656,893
"207",1601,768
"208",1439,852
"209",1232,1010
"210",1183,1394
"211",1098,2038
"212",85,2234
"213",-155,1747
"214",-2,1122
"215",367,937
"216",692,1197
"217",700,1290
"218",1399,1058
"219",1641,882
"220",1675,1050
"221",1441,1363
"222",1078,1320
"223",969,1142
"224",1181,779
"225",1454,698
"226",1588,852
"227",1542,1019
"228",1434,1437
"229",690,1555
"230",434,1569
"231",306,1450
"232",182,1392
"233",129,1368
"234",200,1452
"235",506,1676
"236",1202,1507
"237",1025,1004
"238",1079,624
"239",1193,621
"240",1096,881
"241",830,1082
"242",658,1136
"243",652,1161
"244",716,1257
"245",866,1460
