"","c_d","s_d"
"1",705,961
"2",740,983
"3",751,1015
"4",773,969
"5",1182,641
"6",1810,542
"7",1889,756
"8",1759,1064
"9",1620,1203
"10",1539,1138
"11",1596,936
"12",1744,804
"13",1886,878
"14",1981,1219
"15",1955,1471
"16",1947,1417
"17",1954,1122
"18",2071,796
"19",2213,697
"20",2228,817
"21",2088,817
"22",1719,708
"23",1150,585
"24",518,718
"25",389,1112
"26",318,1259
"27",378,1326
"28",501,1459
"29",535,1540
"30",372,1376
"31",298,1170
"32",552,1233
"33",906,1646
"34",1003,1942
"35",934,1448
"36",1334,968
"37",1565,718
"38",1663,661
"39",1644,680
"40",1479,643
"41",1348,741
"42",348,731
"43",54,814
"44",45,929
"45",180,1186
"46",348,1534
"47",394,1740
"48",356,1368
"49",797,955
"50",1348,759
"51",1484,800
"52",1712,1248
"53",1868,2020
"54",1224,2366
"55",731,2557
"56",417,2529
"57",115,2367
"58",63,2037
"59",145,1752
"60",129,1052
"61",670,463
"62",861,93
"63",820,87
"64",975,566
"65",1032,1648
"66",295,2062
"67",168,1959
"68",303,1486
"69",580,1147
"70",660,1028
"71",626,906
"72",656,803
"73",832,719
"74",977,666
"75",960,759
"76",839,955
"77",642,640
"78",815,630
"79",1003,1010
"80",944,1190
"81",1013,1289
"82",1360,1154
"83",1586,1313
"84",712,1534
"85",524,1527
"86",259,1405
"87",173,1336
"88",246,1223
"89",350,1204
"90",385,1225
"91",417,1179
"92",492,976
"93",638,766
"94",849,476
"95",1163,-119
"96",1839,-265
"97",1897,-11
"98",1490,615
"99",1126,1082
"100",1019,1213
"101",1270,1161
"102",1642,1118
"103",1848,983
"104",1837,773
"105",1746,464
"106",1712,234
"107",1716,94
"108",1073,296
"109",935,979
"110",919,1593
"111",639,1858
"112",282,1677
"113",154,1098
"114",355,277
"115",1290,2
"116",1777,209
"117",1805,644
"118",1934,1010
"119",2041,1156
"120",1997,1279
"121",1718,1303
"122",1453,1062
"123",1520,852
"124",1534,842
"125",1534,926
"126",1491,935
"127",1569,838
"128",1776,906
"129",1821,1136
"130",1582,1138
"131",918,1016
"132",219,1122
"133",213,1200
"134",183,1314
"135",98,1432
"136",5,1429
"137",22,1299
"138",179,1275
"139",453,1442
"140",631,1702
"141",497,1873
"142",208,1730
"143",80,1444
"144",88,1362
"145",100,1469
"146",138,1466
"147",392,1433
"148",743,1501
"149",857,1625
"150",602,1611
"151",362,1398
"152",373,1155
"153",529,1156
"154",600,1326
"155",564,1384
"156",634,1315
"157",840,1289
"158",1043,1454
"159",1100,1735
"160",1034,2031
"161",792,2015
"162",849,1588
"163",1376,1288
"164",1478,1190
"165",1660,1183
"166",1872,1234
"167",2016,1695
"168",1235,1939
"169",973,2097
"170",741,2263
"171",498,2235
"172",510,2108
"173",693,1991
"174",773,1904
"175",695,1767
"176",547,1573
"177",413,1442
"178",396,1353
"179",566,1333
"180",726,1386
"181",659,1435
"182",356,1365
"183",89,1305
"184",13,1408
"185",-30,1752
"186",-187,2020
"187",-349,1991
"188",-200,1788
"189",-55,1658
"190",56,1580
"191",172,909
"192",637,419
"193",1121,307
"194",1306,377
"195",1451,686
"196",1579,972
"197",1721,1568
"198",923,1920
"199",647,1966
"200",578,1922
"201",541,1862
"202",493,1772
"203",469,1503
"204",512,1163
"205",625,879
"206",707,796
"207",668,947
"208",541,1203
"209",431,1405
"210",355,1620
"211",297,1739
"212",317,1669
"213",372,1436
"214",341,1155
"215",465,766
"216",971,241
"217",1444,228
"218",1478,337
"219",1576,650
"220",1683,994
"221",1740,1182
"222",1791,1242
"223",1809,1203
"224",1819,1203
"225",1753,1140
"226",1570,1110
"227",1329,1030
"228",1152,828
"229",1164,616
"230",1312,637
"231",1332,849
"232",1060,958
"233",823,672
"234",971,156
"235",1494,-36
"236",2046,187
"237",2235,389
"238",2196,482
"239",1949,452
"240",1573,409
"241",1347,292
"242",1277,188
"243",1405,4
"244",1519,-214
"245",1437,-324
