"","c_d","s_d"
"1",1795,1533
"2",1938,1406
"3",1958,1183
"4",1934,1383
"5",849,1413
"6",701,1373
"7",675,1192
"8",490,768
"9",291,378
"10",252,322
"11",191,430
"12",-4,474
"13",-75,417
"14",-3,234
"15",97,240
"16",112,458
"17",96,570
"18",182,526
"19",425,483
"20",581,732
"21",525,1169
"22",498,1651
"23",924,1796
"24",1211,1964
"25",1142,2184
"26",1089,2263
"27",1146,2193
"28",1419,2024
"29",1650,1976
"30",1785,2079
"31",1837,2028
"32",1930,1609
"33",2051,1171
"34",2178,1077
"35",1256,701
"36",1034,448
"37",627,419
"38",196,430
"39",-11,479
"40",273,554
"41",1245,754
"42",1423,1152
"43",1523,1198
"44",1631,1033
"45",1833,797
"46",1999,902
"47",1835,1317
"48",608,1333
"49",234,891
"50",303,548
"51",386,625
"52",196,791
"53",809,1037
"54",832,1022
"55",1215,952
"56",1782,907
"57",2088,1332
"58",1976,1839
"59",1638,2220
"60",412,1866
"61",361,1231
"62",386,835
"63",379,667
"64",406,600
"65",1246,580
"66",1301,710
"67",1496,691
"68",1754,774
"69",1950,945
"70",2099,1137
"71",2364,1244
"72",2551,1444
"73",2437,1524
"74",2218,1432
"75",2061,1178
"76",1570,1013
"77",673,864
"78",627,557
"79",525,293
"80",207,100
"81",-123,-11
"82",-102,72
"83",747,422
"84",871,1009
"85",1014,1323
"86",1236,1348
"87",1502,1218
"88",1757,1146
"89",1923,965
"90",2060,751
"91",2291,614
"92",2402,784
"93",2166,1093
"94",1494,1312
"95",412,1289
"96",382,930
"97",685,831
"98",1098,929
"99",1227,975
"100",1171,1148
"101",1027,1093
"102",761,929
"103",696,744
"104",779,745
"105",831,1041
"106",798,1623
"107",1383,1838
"108",2074,1652
"109",2299,1530
"110",2178,1699
"111",2057,1619
"112",1761,1619
"113",1335,1773
"114",498,1911
"115",353,1540
"116",385,1278
"117",541,1149
"118",760,1244
"119",902,1117
"120",869,647
"121",1077,238
"122",1330,86
"123",1516,150
"124",1481,330
"125",1286,604
"126",1074,777
"127",964,837
"128",891,907
"129",783,956
"130",682,1173
"131",1152,1407
"132",1444,1425
"133",1181,1329
"134",970,1034
"135",939,867
"136",925,1016
"137",884,1254
"138",902,1433
"139",1026,1527
"140",1150,1571
"141",1228,1495
"142",1347,1403
"143",1518,1356
"144",1670,1425
"145",1697,1487
"146",1705,1543
"147",1750,1556
"148",1924,1612
"149",2081,1584
"150",2150,1488
"151",2044,1042
"152",1841,675
"153",1686,458
"154",1639,477
"155",1659,512
"156",1686,590
"157",1781,675
"158",1839,768
"159",1823,814
"160",1591,1052
"161",954,1041
"162",734,709
"163",739,454
"164",828,489
"165",978,651
"166",989,916
"167",1748,1131
"168",1926,1270
"169",1843,1080
"170",1759,889
"171",1587,711
"172",1327,704
"173",1124,876
"174",1053,1310
"175",1022,1771
"176",1087,1844
"177",1320,1650
"178",1730,1557
"179",1976,1590
"180",1961,1691
"181",1777,1652
"182",1741,1608
"183",1837,1620
"184",1878,1641
"185",1784,1431
"186",1721,1096
"187",1725,814
"188",1754,795
"189",1741,972
"190",1398,1413
"191",552,1446
"192",449,1163
"193",365,914
"194",284,728
"195",205,504
"196",180,263
"197",1183,402
"198",1770,891
"199",1922,1286
"200",1943,1496
"201",1820,1301
"202",1667,978
"203",1548,738
"204",1503,717
"205",1506,858
"206",1427,1223
"207",1241,1654
"208",1007,1888
"209",855,1629
"210",953,1288
"211",1197,1012
"212",1305,1021
"213",1203,1090
"214",1097,1255
"215",206,1206
"216",382,1333
"217",442,1406
"218",349,1320
"219",291,1088
"220",404,971
"221",509,1147
"222",400,1333
"223",124,1114
"224",-33,650
"225",118,357
"226",357,318
"227",646,385
"228",855,465
"229",956,508
"230",981,549
"231",962,517
"232",933,440
"233",975,378
"234",1037,399
"235",1087,598
"236",1111,838
"237",998,965
"238",731,847
"239",494,446
"240",465,-77
"241",645,-327
"242",774,21
"243",783,490
"244",721,826
"245",1011,1109
