"","TIME","cor_dFin"
"1",4.601,0.521663382929751
"2",4.60105,0.799154693401759
"3",4.6011,0.925941320930715
"4",4.60115,0.875135530685418
"5",4.6012,0.818259252138986
"6",4.60125,0.871576389637497
"7",4.6013,0.889356955679257
"8",4.60135,0.856004756348646
"9",4.6014,0.864468527974969
"10",4.60145,0.908192304727788
"11",4.6015,0.981995167389628
"12",4.60155,1.12475331287598
"13",4.6016,1.27545130186688
"14",4.60165,1.2827702040321
"15",4.6017,1.10534459858176
"16",4.60175,0.860930344160435
"17",4.6018,0.629648091461571
"18",4.60185,0.601701946982783
"19",4.6019,0.844574330527451
"20",4.60195,1.28140408317469
"21",4.602,1.8146446632504
"22",4.60205,2.3820418166257
"23",4.6021,2.94572677852105
"24",4.60215,3.39442927775867
"25",4.6022,3.45644564608957
"26",4.60225,3.10814686421304
"27",4.6023,2.61539803374889
"28",4.60235,2.0761302858211
"29",4.6024,1.53611944525579
"30",4.60245,1.04547529833307
"31",4.6025,0.760374742783101
"32",4.60255,0.801968279130083
"33",4.6026,0.946641081580631
"34",4.60265,1.00803092696038
"35",4.6027,0.989799864228336
"36",4.60275,0.875101878128237
"37",4.6028,0.694785238122041
"38",4.60285,0.475197242404242
"39",4.6029,0.292957095529545
"40",4.60295,0.173325716229929
"41",4.603,0.132968857256914
"42",4.60305,0.176366010203984
"43",4.6031,0.198237082251513
"44",4.60315,0.146650108289935
"45",4.6032,0.19382631452161
"46",4.60325,0.255476692113649
"47",4.6033,0.316328560146976
"48",4.60335,0.467942970646509
"49",4.6034,0.689132778783317
"50",4.60345,0.860253679971083
"51",4.6035,0.956374643688587
"52",4.60355,0.949832855582951
"53",4.6036,0.801746242404206
"54",4.60365,0.633812497640246
"55",4.6037,0.703746433269175
"56",4.60375,0.838912395840538
"57",4.6038,0.940440361453707
"58",4.60385,0.904205518731676
"59",4.6039,0.750524726655764
"60",4.60395,0.67662987225507
"61",4.604,0.765262926422357
"62",4.60405,0.869322297688952
"63",4.6041,0.974615147922342
"64",4.60415,1.16109666098022
"65",4.6042,1.40265986674979
"66",4.60425,1.68036334104591
"67",4.6043,1.87582801721467
"68",4.60435,1.97346403065005
"69",4.6044,2.00372983690347
"70",4.60445,2.01783209433093
"71",4.6045,2.04806367564958
"72",4.60455,2.01645266987628
"73",4.6046,1.70649497596596
"74",4.60465,1.18067940817146
"75",4.6047,0.682813098171457
"76",4.60475,0.480069211992177
"77",4.6048,0.793201879102602
"78",4.60485,1.21137388798282
"79",4.6049,1.33549706579229
"80",4.60495,1.21816026503454
"81",4.605,1.13968994892287
"82",4.60505,1.17762529973174
"83",4.6051,1.32753247046155
"84",4.60515,1.51999353115062
"85",4.6052,1.65500110642093
"86",4.60525,1.63842088297096
"87",4.6053,1.46191102315946
"88",4.60535,1.06328931526274
"89",4.6054,0.699719230140649
"90",4.60545,0.914885672123644
"91",4.6055,1.21658038534108
"92",4.60555,1.2897997666244
"93",4.6056,1.22708694578714
"94",4.60565,0.99487188700054
"95",4.6057,0.736173224270397
"96",4.60575,0.740989942625496
"97",4.6058,0.975442784434871
"98",4.60585,1.23376751729918
"99",4.6059,1.4191401774042
"100",4.60595,1.55199190365052
"101",4.606,1.53620006654466
"102",4.60605,1.32015126954914
"103",4.6061,1.08000254695164
"104",4.60615,1.08035170628435
"105",4.6062,1.17093330722082
"106",4.60625,1.18411109924194
"107",4.6063,1.13473757165543
"108",4.60635,1.1629860831649
"109",4.6064,1.15760045707875
"110",4.60645,0.963132774149362
"111",4.6065,0.817789122287852
"112",4.60655,0.932831715829421
"113",4.6066,1.29954142164833
"114",4.60665,1.74253684849123
"115",4.6067,1.90617326794604
"116",4.60675,1.72578110277587
"117",4.6068,1.44270553272052
"118",4.60685,1.16999587606702
"119",4.6069,0.937814651904819
"120",4.60695,0.756622756551265
"121",4.607,0.613959690002985
"122",4.60705,0.485026358101623
"123",4.6071,0.445064805006005
"124",4.60715,0.46578747031249
"125",4.6072,0.534950081272766
"126",4.60725,0.697053545305583
"127",4.6073,0.948016782645256
"128",4.60735,1.09068148085677
"129",4.6074,1.05040624997506
"130",4.60745,0.87011276185705
"131",4.6075,0.619062157231484
"132",4.60755,0.393347688988477
"133",4.6076,0.539940056802975
"134",4.60765,0.584403527891817
"135",4.6077,0.458242341535115
"136",4.60775,0.250171229795445
"137",4.6078,0.086211468900959
"138",4.60785,0.230804501084676
"139",4.6079,0.443073525120117
"140",4.60795,0.537558423787468
"141",4.608,0.552698212561702
"142",4.60805,0.472776919172887
"143",4.6081,0.38595476002565
"144",4.60815,0.416043966180912
"145",4.6082,0.622397164834339
"146",4.60825,0.866506114492055
"147",4.6083,1.06596972994733
"148",4.60835,1.20301171834029
"149",4.6084,1.30503070763722
"150",4.60845,1.33830211391472
"151",4.6085,1.2524968804287
"152",4.60855,1.12033305682031
"153",4.6086,0.893294084710123
"154",4.60865,0.569609111463236
"155",4.6087,0.22841815086321
"156",4.60875,0.147858810502645
"157",4.6088,0.239321393528073
"158",4.60885,0.464177531473654
"159",4.6089,0.779692447520139
"160",4.60895,1.1329969726997
"161",4.609,1.50221270699578
"162",4.60905,1.94594562283701
"163",4.6091,2.2402943558971
"164",4.60915,2.14142754853036
"165",4.6092,1.84583977902429
"166",4.60925,1.44397856114607
"167",4.6093,1.06285718488656
"168",4.60935,0.659988729362914
"169",4.6094,0.399649512091082
"170",4.60945,0.281264858773359
"171",4.6095,0.215113660411574
"172",4.60955,0.204866996764422
"173",4.6096,0.187257144794081
"174",4.60965,0.179786421559487
