"","c_d","s_d"
"1",1919,1008
"2",1719,1593
"3",1349,1598
"4",934,1600
"5",743,1774
"6",673,1915
"7",645,1915
"8",738,1771
"9",825,1573
"10",1007,1380
"11",1274,1444
"12",1382,1719
"13",1101,1996
"14",713,2049
"15",535,1810
"16",840,1537
"17",1376,1578
"18",1336,1074
"19",993,840
"20",699,534
"21",629,287
"22",593,360
"23",487,602
"24",586,766
"25",989,1256
"26",994,1739
"27",946,1680
"28",900,1634
"29",1025,1677
"30",1151,1667
"31",1190,1631
"32",1285,1642
"33",1374,1708
"34",1412,1751
"35",1248,1755
"36",973,1715
"37",736,1584
"38",756,1341
"39",1065,1220
"40",1505,1374
"41",1792,1653
"42",1473,1035
"43",1302,704
"44",1249,708
"45",1098,808
"46",996,963
"47",1079,1121
"48",1207,1204
"49",1087,1089
"50",703,743
"51",349,228
"52",248,-320
"53",462,-323
"54",735,-144
"55",817,2
"56",626,104
"57",519,111
"58",665,166
"59",987,291
"60",1571,470
"61",1703,1138
"62",1497,1413
"63",1279,1224
"64",1248,1176
"65",1398,1297
"66",1587,1577
"67",1654,1827
"68",1538,1872
"69",1311,1847
"70",1181,2012
"71",1070,2227
"72",1037,2180
"73",1204,2068
"74",1524,2084
"75",1865,1837
"76",2179,1594
"77",2277,1425
"78",2171,1280
"79",1946,1119
"80",1755,1044
"81",1638,1132
"82",1674,1323
"83",1746,1343
"84",1801,933
"85",1342,439
"86",1290,383
"87",1442,303
"88",1455,254
"89",1421,188
"90",1592,176
"91",2050,461
"92",1858,977
"93",1655,1048
"94",1519,916
"95",1485,789
"96",1096,163
"97",566,147
"98",274,252
"99",85,419
"100",22,409
"101",-5,232
"102",173,256
"103",808,732
"104",1017,1360
"105",1144,1474
"106",1204,1564
"107",1260,1692
"108",1361,1787
"109",1310,1747
"110",1219,1590
"111",1194,1405
"112",1350,1234
"113",1623,1252
"114",1111,907
"115",689,543
"116",590,140
"117",726,176
"118",854,707
"119",566,1273
"120",77,1338
"121",-28,1029
"122",327,761
"123",752,797
"124",884,842
"125",911,786
"126",1510,912
"127",1578,1081
"128",1661,1368
"129",1693,1688
"130",1798,1936
"131",1923,2003
"132",1999,2042
"133",1984,1990
"134",1779,1869
"135",1488,1567
"136",1486,1203
"137",1670,1013
"138",1746,1090
"139",1565,1302
"140",1218,1517
"141",891,1666
"142",849,1641
"143",897,1643
"144",930,1410
"145",552,942
"146",268,947
"147",155,1093
"148",140,828
"149",147,675
"150",96,654
"151",83,636
"152",65,567
"153",69,497
"154",296,597
"155",913,771
"156",1509,1254
"157",1515,1699
"158",1442,1908
"159",1251,1946
"160",1023,1880
"161",908,1847
"162",857,1757
"163",705,1666
"164",668,1532
"165",898,1542
"166",1386,1673
"167",1812,1762
"168",2078,1624
"169",2213,1339
"170",2263,1218
"171",2158,1180
"172",2083,937
"173",2252,604
"174",2539,231
"175",2148,290
"176",1722,297
"177",1334,119
"178",1063,29
"179",836,67
"180",594,128
"181",360,165
"182",244,93
"183",264,55
"184",245,45
"185",748,51
"186",1550,562
"187",1724,1163
"188",1766,1534
"189",1712,1548
"190",1586,1459
"191",1547,1132
"192",1085,212
"193",675,-180
"194",589,-114
"195",598,-9
"196",652,59
"197",704,-62
"198",828,86
"199",1621,845
"200",1798,1618
"201",1726,1765
"202",1724,1736
"203",1870,1648
"204",1893,1184
"205",1330,889
"206",483,852
"207",121,714
"208",37,651
"209",27,739
"210",160,699
"211",513,1086
"212",819,1383
"213",1080,1421
"214",1320,1636
"215",1505,1828
"216",1443,1391
"217",911,1298
"218",471,1275
"219",263,1130
"220",174,917
"221",158,563
"222",188,536
"223",161,797
"224",22,1047
"225",-36,996
"226",171,831
"227",943,829
"228",1497,1199
"229",1418,1623
"230",1380,1700
"231",1477,1579
"232",1617,1523
"233",1741,1494
"234",1288,1103
"235",815,1074
"236",761,1135
"237",640,896
"238",612,494
"239",777,181
"240",1040,123
"241",1177,209
"242",1006,442
"243",633,667
"244",389,746
"245",712,555
