"","c_d","s_d"
"1",925,930
"2",892,917
"3",865,916
"4",860,954
"5",824,912
"6",847,900
"7",889,893
"8",919,899
"9",955,950
"10",975,965
"11",948,978
"12",888,967
"13",886,958
"14",914,956
"15",914,956
"16",926,945
"17",954,940
"18",948,949
"19",935,936
"20",938,923
"21",917,954
"22",921,963
"23",949,883
"24",943,833
"25",908,887
"26",936,976
"27",972,973
"28",925,924
"29",898,934
"30",898,944
"31",842,930
"32",861,948
"33",900,946
"34",903,965
"35",899,1003
"36",931,1012
"37",947,962
"38",914,952
"39",866,1014
"40",899,1036
"41",901,1025
"42",898,995
"43",887,976
"44",882,984
"45",888,979
"46",876,951
"47",869,958
"48",858,986
"49",880,989
"50",925,983
"51",939,939
"52",912,892
"53",901,909
"54",882,939
"55",883,1006
"56",962,1007
"57",989,976
"58",925,959
"59",894,985
"60",883,991
"61",866,973
"62",894,964
"63",934,972
"64",954,985
"65",953,966
"66",952,995
"67",974,1015
"68",964,990
"69",945,973
"70",915,996
"71",944,1016
"72",981,978
"73",970,950
"74",938,942
"75",920,1007
"76",959,1026
"77",976,1002
"78",980,997
"79",986,929
"80",998,933
"81",988,995
"82",975,1044
"83",988,1039
"84",965,1004
"85",939,998
"86",958,1014
"87",952,1004
"88",924,994
"89",905,984
"90",938,973
"91",982,990
"92",983,1032
"93",969,1040
"94",950,1011
"95",946,963
"96",1003,951
"97",1056,960
"98",1031,948
"99",985,925
"100",979,952
"101",972,992
"102",957,1010
"103",939,978
"104",943,970
"105",938,995
"106",949,1007
"107",950,1010
"108",954,998
"109",959,955
"110",990,926
"111",992,930
"112",1002,967
"113",1038,969
"114",1006,967
"115",991,995
"116",1056,1009
"117",1042,994
"118",966,1000
"119",964,986
"120",1006,956
"121",1009,961
"122",975,963
"123",942,974
"124",960,987
"125",976,989
"126",984,983
"127",1001,964
"128",1007,932
"129",1015,966
"130",988,1021
"131",978,981
"132",967,906
"133",973,903
"134",976,925
"135",981,906
"136",1031,907
"137",1026,933
"138",982,942
"139",986,936
"140",1015,940
"141",992,965
"142",970,971
"143",985,947
"144",988,986
"145",998,996
"146",973,953
"147",944,949
"148",955,990
"149",1019,943
"150",1012,907
"151",976,922
"152",990,923
"153",1020,923
"154",1017,927
"155",990,948
"156",1012,961
"157",1053,962
"158",1038,935
"159",1008,898
"160",984,883
"161",987,921
"162",973,939
"163",985,935
"164",1030,932
"165",1044,953
"166",1023,945
"167",969,916
"168",986,944
"169",1017,939
"170",991,917
"171",956,932
"172",930,912
"173",953,858
"174",923,832
"175",928,888
"176",942,928
"177",1015,921
"178",940,876
"179",942,907
"180",947,902
"181",945,923
"182",975,932
"183",945,911
"184",953,939
"185",948,942
"186",957,936
"187",986,930
"188",953,906
"189",913,925
"190",914,915
"191",950,901
"192",962,895
"193",984,911
"194",965,933
"195",942,923
"196",954,914
"197",971,912
"198",936,930
"199",908,913
"200",950,913
"201",918,912
"202",902,958
"203",893,968
"204",910,938
"205",919,917
"206",937,910
"207",934,893
"208",937,910
"209",976,933
"210",975,901
"211",897,890
"212",876,947
"213",914,958
"214",956,937
"215",950,891
"216",937,914
"217",959,931
"218",978,918
"219",961,896
"220",935,898
"221",948,928
"222",950,940
"223",945,913
"224",933,914
"225",973,907
"226",963,917
"227",965,960
"228",954,945
"229",923,923
"230",953,936
"231",931,923
"232",924,946
"233",897,933
"234",872,925
"235",886,949
"236",968,926
"237",995,871
"238",925,893
"239",929,937
"240",963,900
"241",969,902
"242",956,942
"243",924,948
"244",925,940
"245",905,912
