"","c_d","s_d"
"1",554,-84
"2",781,117
"3",991,545
"4",991,798
"5",803,1016
"6",445,1153
"7",711,1627
"8",1203,2151
"9",1288,2204
"10",1183,2124
"11",1092,2168
"12",1194,2072
"13",1224,2069
"14",1246,1999
"15",1264,1613
"16",1359,959
"17",1545,511
"18",1507,364
"19",964,-130
"20",836,-422
"21",690,-474
"22",512,-148
"23",387,490
"24",290,1205
"25",191,1597
"26",313,1428
"27",628,1268
"28",885,1271
"29",1106,1298
"30",1679,1309
"31",1583,1667
"32",1529,1964
"33",1575,2114
"34",1510,2096
"35",1336,1973
"36",1379,1868
"37",1498,1817
"38",1508,1755
"39",1320,1626
"40",1114,1560
"41",950,1606
"42",843,1667
"43",787,1725
"44",807,1708
"45",785,1578
"46",779,1385
"47",1027,1324
"48",1261,1438
"49",1501,1719
"50",1627,2021
"51",1575,2168
"52",1597,2168
"53",1640,1998
"54",1671,1808
"55",1659,1668
"56",1709,1338
"57",1673,1129
"58",1487,1127
"59",1193,1266
"60",822,1155
"61",165,462
"62",-224,337
"63",-201,329
"64",71,469
"65",366,729
"66",554,907
"67",1096,990
"68",1185,1317
"69",1147,1431
"70",997,1422
"71",770,1491
"72",596,1219
"73",396,246
"74",458,189
"75",507,293
"76",457,374
"77",397,428
"78",450,425
"79",1397,859
"80",1474,1381
"81",1454,1531
"82",1571,1531
"83",1612,1756
"84",1558,2081
"85",1403,2244
"86",1449,2253
"87",1599,2240
"88",1793,2179
"89",1843,1890
"90",1904,1398
"91",1455,379
"92",1257,240
"93",1207,612
"94",1148,857
"95",1139,932
"96",1030,963
"97",916,902
"98",603,599
"99",410,219
"100",406,240
"101",448,155
"102",504,-71
"103",644,-294
"104",717,88
"105",759,528
"106",860,797
"107",1083,936
"108",1282,1111
"109",1323,1253
"110",1260,1324
"111",1161,1291
"112",1092,1299
"113",984,1366
"114",845,1437
"115",611,1301
"116",414,932
"117",442,328
"118",613,15
"119",711,45
"120",576,165
"121",390,160
"122",325,-15
"123",458,-10
"124",577,488
"125",663,1135
"126",1003,1387
"127",1391,1669
"128",1452,2042
"129",1356,2019
"130",1263,1736
"131",1383,1236
"132",1489,640
"133",1028,406
"134",450,552
"135",355,407
"136",694,278
"137",995,470
"138",1014,675
"139",767,613
"140",369,519
"141",90,710
"142",-164,929
"143",-248,1018
"144",-230,832
"145",-70,635
"146",16,522
"147",14,354
"148",95,194
"149",297,288
"150",367,575
"151",177,674
"152",70,529
"153",208,400
"154",388,502
"155",510,668
"156",890,670
"157",1140,904
"158",1284,1277
"159",1391,1563
"160",1402,1790
"161",1246,1917
"162",1181,1869
"163",1227,1799
"164",1187,1793
"165",1037,1803
"166",976,1691
"167",1157,1557
"168",1575,1584
"169",2019,1705
"170",2237,1858
"171",2143,1797
"172",1974,1533
"173",1973,1281
"174",1982,1314
"175",1743,1513
"176",1416,1548
"177",1227,1409
"178",1191,1294
"179",1083,1316
"180",894,1290
"181",817,1266
"182",951,1280
"183",1230,1259
"184",1520,1262
"185",1701,1350
"186",1918,1312
"187",1540,547
"188",1195,461
"189",960,580
"190",704,491
"191",618,352
"192",668,523
"193",676,547
"194",650,496
"195",616,540
"196",541,634
"197",506,628
"198",481,645
"199",349,669
"200",198,675
"201",176,628
"202",183,531
"203",149,473
"204",11,484
"205",-215,509
"206",-400,440
"207",-390,421
"208",-220,503
"209",-53,645
"210",17,725
"211",105,740
"212",135,707
"213",107,618
"214",156,607
"215",418,668
"216",1056,724
"217",1629,1082
"218",1952,1618
"219",2205,1933
"220",2285,2072
"221",2036,2179
"222",1848,2127
"223",1675,1971
"224",1670,1952
"225",1701,2069
"226",1806,2124
"227",2022,2105
"228",2318,2172
"229",2417,2241
"230",2228,2168
"231",1794,1932
"232",1425,1363
"233",1332,856
"234",1394,277
"235",1136,89
"236",876,255
"237",793,401
"238",731,437
"239",708,445
"240",747,533
"241",1191,633
"242",1325,1230
"243",1403,1649
"244",1438,1500
"245",1480,1360
