"","c_d","s_d"
"1",1415,522
"2",1577,1021
"3",1297,1724
"4",424,1903
"5",289,1741
"6",367,1690
"7",432,1582
"8",709,1451
"9",835,1248
"10",716,974
"11",585,728
"12",733,654
"13",936,940
"14",839,1392
"15",584,1007
"16",652,766
"17",804,713
"18",938,610
"19",928,644
"20",1022,807
"21",1190,901
"22",1355,934
"23",1192,1034
"24",972,899
"25",1061,708
"26",1273,725
"27",951,859
"28",555,1536
"29",495,1582
"30",628,1387
"31",683,1443
"32",369,1526
"33",-75,1011
"34",-189,2
"35",748,-254
"36",1453,232
"37",1573,831
"38",1615,1117
"39",1773,1025
"40",1972,830
"41",2027,612
"42",1989,438
"43",2028,290
"44",2056,272
"45",2024,257
"46",2190,246
"47",2463,358
"48",2545,624
"49",2141,749
"50",1362,613
"51",474,371
"52",375,666
"53",429,919
"54",408,1069
"55",393,1107
"56",433,1100
"57",514,1243
"58",486,1439
"59",512,1656
"60",734,1989
"61",1024,2348
"62",1286,2557
"63",1422,2557
"64",1474,2495
"65",1465,2081
"66",1498,1646
"67",1582,1425
"68",1556,1377
"69",1301,1388
"70",1024,1445
"71",667,1426
"72",334,1260
"73",147,1271
"74",286,1467
"75",620,1494
"76",726,1502
"77",485,1623
"78",224,1534
"79",294,1534
"80",587,1534
"81",1235,857
"82",1900,663
"83",1970,934
"84",1735,977
"85",1573,557
"86",1601,116
"87",1358,207
"88",853,621
"89",1009,827
"90",1071,1095
"91",939,1460
"92",794,1583
"93",694,1489
"94",761,1481
"95",819,1760
"96",779,2140
"97",606,2300
"98",546,2368
"99",663,2376
"100",896,2386
"101",1111,2398
"102",1486,2390
"103",1555,2164
"104",1549,1861
"105",1598,1347
"106",1624,914
"107",1419,798
"108",1246,779
"109",1076,902
"110",897,1019
"111",758,645
"112",1167,385
"113",1517,143
"114",1688,35
"115",1845,210
"116",1794,418
"117",1446,760
"118",667,1137
"119",765,1345
"120",877,1637
"121",899,2012
"122",809,2024
"123",643,1736
"124",605,1418
"125",721,1265
"126",859,1396
"127",831,1690
"128",797,1909
"129",889,2063
"130",985,2272
"131",829,2344
"132",558,2158
"133",358,1840
"134",378,1627
"135",719,1366
"136",1200,1052
"137",1426,1238
"138",1389,1285
"139",1143,1156
"140",1009,1020
"141",966,1010
"142",906,1022
"143",876,1021
"144",825,698
"145",832,110
"146",1233,-332
"147",1640,-313
"148",1822,-148
"149",1854,116
"150",1780,323
"151",1632,550
"152",1518,863
"153",1396,1121
"154",1363,1227
"155",1577,1232
"156",1907,1260
"157",2172,1318
"158",2457,1346
"159",2557,1283
"160",2478,1048
"161",2243,709
"162",2000,497
"163",1566,355
"164",964,197
"165",172,110
"166",-57,671
"167",-124,1301
"168",-183,1570
"169",-251,1534
"170",-272,1534
"171",-121,1382
"172",99,1086
"173",166,1143
"174",192,1153
"175",410,1150
"176",863,1278
"177",1340,866
"178",1697,876
"179",1774,1005
"180",1688,968
"181",1551,813
"182",1467,610
"183",1123,559
"184",554,858
"185",598,1211
"186",331,1432
"187",37,1523
"188",42,1444
"189",-24,1557
"190",-225,1968
"191",-350,2203
"192",-231,2031
"193",-127,1959
"194",9,1891
"195",191,1476
"196",518,1088
"197",901,1227
"198",1097,1619
"199",945,1770
"200",841,1895
"201",798,2016
"202",781,2124
"203",652,2021
"204",589,1598
"205",555,1259
"206",479,1119
"207",567,717
"208",993,540
"209",1118,717
"210",1123,701
"211",1196,561
"212",1180,326
"213",1023,380
"214",130,500
"215",43,564
"216",11,945
"217",-106,1277
"218",-233,1392
"219",-201,1379
"220",-90,901
"221",325,834
"222",695,796
"223",1254,524
"224",1539,521
"225",1770,1298
"226",1259,1762
"227",1059,1849
"228",1215,1862
"229",1255,1869
"230",1105,1752
"231",857,1475
"232",735,1229
"233",774,1235
"234",940,1323
"235",1178,1244
"236",1422,1205
"237",1633,464
"238",1791,173
"239",1828,110
"240",1827,176
"241",1744,281
"242",1487,203
"243",1370,-265
"244",1414,-512
"245",1512,-512
