"","c_d","s_d"
"1",1434,969
"2",1647,995
"3",1683,1270
"4",1597,1317
"5",1483,1338
"6",1596,1478
"7",1501,1940
"8",1204,1909
"9",981,1877
"10",811,2107
"11",548,2366
"12",474,2407
"13",713,2146
"14",999,2006
"15",1071,1952
"16",1060,1654
"17",1028,1281
"18",1003,1151
"19",890,1295
"20",727,1594
"21",524,1823
"22",483,1839
"23",703,1658
"24",1444,1346
"25",1952,883
"26",1897,938
"27",1641,1017
"28",1504,979
"29",1485,1047
"30",1369,1205
"31",1078,1323
"32",879,1136
"33",1003,867
"34",1348,793
"35",1650,775
"36",1798,667
"37",1792,505
"38",1867,474
"39",2051,534
"40",2029,533
"41",2018,454
"42",2147,954
"43",1903,1834
"44",1115,2007
"45",400,1737
"46",153,1147
"47",441,781
"48",794,829
"49",856,885
"50",663,772
"51",612,555
"52",790,538
"53",862,861
"54",625,1185
"55",335,1155
"56",315,961
"57",492,943
"58",533,1048
"59",384,1206
"60",236,1155
"61",275,946
"62",499,826
"63",598,1029
"64",562,1425
"65",389,1779
"66",377,2067
"67",581,1215
"68",858,1041
"69",1198,911
"70",1566,603
"71",1986,570
"72",2158,748
"73",1981,1257
"74",1464,1356
"75",1210,1169
"76",1117,1185
"77",1059,1358
"78",1393,1300
"79",1676,765
"80",1573,660
"81",1374,709
"82",1239,591
"83",1313,307
"84",1700,10
"85",1743,548
"86",1160,950
"87",678,1176
"88",405,1491
"89",282,1729
"90",211,1783
"91",240,1682
"92",268,1489
"93",430,1372
"94",679,1327
"95",958,1318
"96",1299,877
"97",1577,376
"98",1708,424
"99",1747,533
"100",1736,697
"101",1655,792
"102",1515,777
"103",1435,620
"104",1406,493
"105",1431,526
"106",1316,492
"107",1231,287
"108",1098,647
"109",651,940
"110",327,945
"111",331,1058
"112",639,1304
"113",916,1613
"114",869,1775
"115",578,1681
"116",326,1509
"117",257,1415
"118",313,1445
"119",474,1576
"120",594,1730
"121",664,1796
"122",848,1775
"123",1137,1725
"124",1349,1721
"125",1320,1705
"126",1469,1442
"127",1433,457
"128",1333,29
"129",1238,71
"130",1050,209
"131",909,386
"132",872,617
"133",991,800
"134",1115,915
"135",1201,885
"136",1250,852
"137",1245,983
"138",1032,1993
"139",533,2235
"140",398,2226
"141",535,2167
"142",762,2121
"143",788,2073
"144",632,2047
"145",379,1879
"146",191,1515
"147",270,1237
"148",556,1340
"149",721,1713
"150",752,1953
"151",781,1807
"152",979,1473
"153",1157,1169
"154",1215,1097
"155",1262,1151
"156",1511,960
"157",1511,210
"158",1339,-65
"159",1263,-131
"160",1187,-75
"161",1048,56
"162",942,221
"163",1059,452
"164",1254,804
"165",1404,1080
"166",1543,1001
"167",1867,642
"168",2108,1010
"169",1717,1398
"170",1297,1362
"171",988,933
"172",817,647
"173",919,511
"174",1407,509
"175",1479,-21
"176",973,19
"177",581,182
"178",550,187
"179",896,378
"180",1394,1068
"181",1254,2154
"182",615,2187
"183",105,1999
"184",-12,1771
"185",213,1639
"186",895,1474
"187",928,975
"188",801,769
"189",580,497
"190",634,291
"191",1201,392
"192",1716,839
"193",1588,1786
"194",1151,1881
"195",848,1684
"196",898,1611
"197",1113,1715
"198",1639,1670
"199",1565,1025
"200",1374,612
"201",1179,365
"202",1226,266
"203",1327,402
"204",1399,628
"205",1348,728
"206",1198,710
"207",1113,644
"208",1230,395
"209",1664,356
"210",1602,1284
"211",940,1534
"212",349,1534
"213",195,1249
"214",346,1013
"215",514,1229
"216",863,1413
"217",740,707
"218",336,446
"219",167,412
"220",213,236
"221",550,212
"222",992,196
"223",1145,336
"224",1214,358
"225",1135,282
"226",1353,421
"227",1771,1017
"228",1808,1940
"229",1320,1924
"230",1066,1638
"231",839,1523
"232",697,1450
"233",666,1239
"234",660,1028
"235",634,951
"236",330,989
"237",218,1033
"238",388,1102
"239",960,1334
"240",1816,1785
"241",2193,1512
"242",2083,1355
"243",1864,1178
"244",1684,792
"245",1525,333
