"","c_d","s_d"
"1",577,1280
"2",700,1429
"3",584,1533
"4",693,1476
"5",1286,964
"6",1616,565
"7",1799,305
"8",2057,316
"9",2310,614
"10",2344,1003
"11",2203,1219
"12",2007,1254
"13",1988,1158
"14",2075,1066
"15",2015,1039
"16",1866,1376
"17",1411,1359
"18",1195,1266
"19",1405,1199
"20",1488,1038
"21",1534,987
"22",1268,1185
"23",736,1570
"24",183,1756
"25",-186,1857
"26",-222,1974
"27",-11,1967
"28",338,1624
"29",774,1341
"30",1148,1507
"31",1252,1922
"32",822,2058
"33",114,1900
"34",-322,1516
"35",-261,1307
"36",-20,1469
"37",54,1742
"38",23,1852
"39",52,1735
"40",141,1525
"41",264,1400
"42",298,1248
"43",263,1005
"44",225,910
"45",269,920
"46",460,925
"47",1099,1073
"48",1382,885
"49",1526,676
"50",1757,634
"51",1953,623
"52",2103,638
"53",2176,908
"54",1355,1247
"55",895,1251
"56",777,989
"57",712,746
"58",639,618
"59",1144,912
"60",1185,1008
"61",1103,891
"62",1175,808
"63",1242,814
"64",1227,724
"65",1161,528
"66",772,948
"67",379,1325
"68",400,1500
"69",264,1623
"70",60,1671
"71",-69,1672
"72",-34,1659
"73",98,1691
"74",236,1811
"75",375,1998
"76",685,1610
"77",1231,1006
"78",1466,989
"79",1515,1011
"80",1595,844
"81",1668,676
"82",1618,494
"83",1515,463
"84",1379,480
"85",1459,548
"86",1564,642
"87",1496,635
"88",1256,434
"89",1053,132
"90",923,36
"91",870,8
"92",791,-172
"93",839,-419
"94",1031,-491
"95",1257,-422
"96",1397,-324
"97",1516,-239
"98",1652,4
"99",1629,334
"100",1382,569
"101",1162,632
"102",1106,593
"103",1189,609
"104",1251,685
"105",1252,685
"106",1291,617
"107",1513,622
"108",1708,657
"109",1798,572
"110",1887,418
"111",1961,375
"112",2173,483
"113",2168,982
"114",1581,990
"115",1372,981
"116",1169,1201
"117",669,1358
"118",90,1276
"119",728,1041
"120",896,577
"121",936,286
"122",1060,278
"123",1200,150
"124",1271,116
"125",1544,72
"126",1804,55
"127",1866,181
"128",1773,424
"129",1521,722
"130",1324,977
"131",1157,1118
"132",1034,1219
"133",1041,1244
"134",1156,1214
"135",1213,1173
"136",1174,1015
"137",1164,705
"138",1242,478
"139",1370,566
"140",1360,896
"141",1181,1067
"142",910,1584
"143",605,2078
"144",105,2020
"145",14,2057
"146",158,2015
"147",275,1759
"148",480,1595
"149",540,1622
"150",806,1649
"151",1125,1854
"152",1179,2180
"153",1069,2099
"154",969,2085
"155",771,2217
"156",545,2374
"157",379,2243
"158",452,1880
"159",580,1725
"160",576,1695
"161",427,1579
"162",441,1479
"163",542,1592
"164",541,1919
"165",393,2049
"166",424,2175
"167",655,2219
"168",924,2136
"169",1028,2006
"170",972,1819
"171",772,1638
"172",580,1415
"173",785,1226
"174",1043,777
"175",1136,398
"176",1188,288
"177",1220,258
"178",1247,219
"179",1350,177
"180",1525,68
"181",1783,73
"182",1973,259
"183",2022,461
"184",1971,578
"185",1953,628
"186",1871,776
"187",1548,913
"188",1133,806
"189",1004,457
"190",1147,85
"191",1382,-63
"192",1421,-158
"193",1368,-238
"194",1287,-227
"195",1203,-40
"196",1034,266
"197",870,459
"198",845,417
"199",1027,319
"200",1348,299
"201",1533,372
"202",1590,828
"203",1280,1102
"204",852,1129
"205",748,1228
"206",751,1247
"207",821,1132
"208",997,1172
"209",995,1298
"210",1150,1539
"211",1092,1732
"212",725,1670
"213",538,1459
"214",599,1363
"215",610,1421
"216",479,1466
"217",381,1417
"218",296,1390
"219",255,1416
"220",390,1442
"221",908,1417
"222",1431,1191
"223",1596,1098
"224",1618,1147
"225",1489,1002
"226",1376,779
"227",1429,858
"228",1394,1371
"229",709,1442
"230",599,1273
"231",556,1133
"232",448,1338
"233",186,1815
"234",-87,2084
"235",-144,1928
"236",24,1534
"237",481,1325
"238",902,1449
"239",1037,1706
"240",954,1791
"241",813,1558
"242",813,1213
"243",1003,1022
"244",1468,1011
"245",1827,621
