"","c_d","s_d"
"1",1264,93
"2",1305,-67
"3",1076,179
"4",867,325
"5",792,465
"6",171,413
"7",443,607
"8",868,1129
"9",957,1564
"10",944,1705
"11",842,1577
"12",654,1090
"13",1162,876
"14",1150,878
"15",1049,940
"16",1195,993
"17",1417,1045
"18",1535,1147
"19",1416,1039
"20",1129,592
"21",1058,5
"22",1263,-188
"23",1474,-253
"24",1130,284
"25",218,1162
"26",-30,1591
"27",28,1599
"28",242,1552
"29",449,1677
"30",632,1798
"31",595,1627
"32",485,1380
"33",468,1231
"34",439,1198
"35",288,869
"36",223,203
"37",979,-46
"38",1499,-54
"39",1790,102
"40",1851,225
"41",1736,348
"42",1489,441
"43",1232,515
"44",1027,594
"45",952,668
"46",1045,790
"47",1196,866
"48",1292,813
"49",1370,565
"50",1475,234
"51",1561,-29
"52",1520,-74
"53",1317,-29
"54",987,-109
"55",892,-249
"56",979,-193
"57",1192,125
"58",1292,440
"59",1342,457
"60",1519,406
"61",1765,560
"62",1836,1049
"63",1622,1472
"64",1315,1497
"65",1183,1122
"66",700,831
"67",221,1047
"68",61,1190
"69",-37,1068
"70",86,926
"71",353,959
"72",521,697
"73",968,310
"74",1475,107
"75",1547,202
"76",1642,320
"77",1629,663
"78",980,828
"79",364,677
"80",330,468
"81",364,525
"82",408,750
"83",451,985
"84",524,632
"85",1166,302
"86",1395,330
"87",1649,733
"88",1927,1258
"89",2043,1545
"90",2074,1596
"91",2020,1481
"92",1858,1262
"93",1541,935
"94",1170,526
"95",933,169
"96",422,331
"97",30,788
"98",-66,909
"99",-94,824
"100",81,838
"101",255,1063
"102",294,1327
"103",293,1352
"104",403,1145
"105",663,1013
"106",868,1163
"107",812,1494
"108",562,1864
"109",261,2159
"110",69,2307
"111",-42,2393
"112",-52,2380
"113",99,2335
"114",404,2294
"115",626,2190
"116",755,1810
"117",905,1503
"118",1009,1412
"119",921,1443
"120",681,1388
"121",517,1186
"122",572,1134
"123",718,1450
"124",681,1908
"125",414,2085
"126",219,1932
"127",258,1768
"128",438,1711
"129",631,1797
"130",792,1973
"131",777,1586
"132",968,695
"133",1688,283
"134",2035,173
"135",2168,487
"136",2130,831
"137",1831,823
"138",883,612
"139",304,810
"140",197,1181
"141",-76,1497
"142",-444,1625
"143",-512,1573
"144",-512,1303
"145",-325,1151
"146",14,1129
"147",277,1289
"148",365,1521
"149",354,1649
"150",366,1637
"151",363,1560
"152",245,1454
"153",72,1156
"154",-16,920
"155",46,913
"156",206,1129
"157",264,1361
"158",170,1632
"159",75,1679
"160",173,1555
"161",437,1225
"162",1015,966
"163",1424,866
"164",1341,790
"165",1428,915
"166",1540,1079
"167",1453,1184
"168",1344,1237
"169",1144,1303
"170",1043,1389
"171",1245,1246
"172",1560,991
"173",1799,683
"174",1815,434
"175",1655,229
"176",1480,128
"177",1460,132
"178",1536,304
"179",1678,505
"180",1922,576
"181",2069,405
"182",2079,198
"183",2041,78
"184",1879,60
"185",1531,74
"186",1200,38
"187",1063,-60
"188",1256,-197
"189",1727,-37
"190",2096,465
"191",2112,809
"192",1526,895
"193",1095,773
"194",1164,781
"195",1177,766
"196",1069,874
"197",856,1071
"198",472,1247
"199",234,1489
"200",86,1795
"201",-102,2093
"202",-57,2206
"203",445,2117
"204",1047,1893
"205",1320,1567
"206",1460,1265
"207",1534,1158
"208",1534,1437
"209",1534,2007
"210",1288,2454
"211",794,2466
"212",581,2073
"213",812,1459
"214",1126,1265
"215",1029,1208
"216",769,948
"217",630,638
"218",679,511
"219",731,545
"220",654,834
"221",558,797
"222",937,696
"223",1614,733
"224",1770,636
"225",1720,674
"226",1686,715
"227",1670,771
"228",1584,866
"229",1326,856
"230",950,591
"231",899,193
"232",961,-12
"233",1176,195
"234",1386,667
"235",1399,1024
"236",1287,1143
"237",1150,1007
"238",1157,838
"239",942,820
"240",249,935
"241",-52,1362
"242",-226,1513
"243",-102,1494
"244",196,1436
"245",310,1425
