"","TIME","cor_dFin"
"1",4.601,0.594805296503278
"2",4.60105,0.32626094641374
"3",4.6011,0.775917062668436
"4",4.60115,1.32881883670004
"5",4.6012,1.86575367780503
"6",4.60125,2.15790691453431
"7",4.6013,2.18044811866365
"8",4.60135,1.91768625127237
"9",4.6014,1.52918115638497
"10",4.60145,1.15181251272145
"11",4.6015,0.804923013884134
"12",4.60155,0.593604232973496
"13",4.6016,0.563297068282326
"14",4.60165,0.658978543795847
"15",4.6017,0.893377185373697
"16",4.60175,1.13578653930393
"17",4.6018,1.26716831255464
"18",4.60185,1.28465737296199
"19",4.6019,1.18482962597176
"20",4.60195,1.07501439218449
"21",4.602,0.938812414607819
"22",4.60205,0.793583741047324
"23",4.6021,0.663707840369426
"24",4.60215,0.553100114546199
"25",4.6022,0.426563742126173
"26",4.60225,0.378001320301095
"27",4.6023,0.356982018126799
"28",4.60235,0.371302324958679
"29",4.6024,0.362893220435334
"30",4.60245,0.377676676901357
"31",4.6025,0.404097741457789
"32",4.60255,0.302206819250229
"33",4.6026,0.156585499269674
"34",4.60265,0.188986601087462
"35",4.6027,0.318887862098166
"36",4.60275,0.342964480522658
"37",4.6028,0.315708870716742
"38",4.60285,0.497604460471515
"39",4.6029,0.895869429326009
"40",4.60295,1.39040821402163
"41",4.603,1.8313398771001
"42",4.60305,2.0521068060259
"43",4.6031,2.00068868964849
"44",4.60315,1.8071804569659
"45",4.6032,1.58529701706656
"46",4.60325,1.41454404835661
"47",4.6033,1.25766047905056
"48",4.60335,1.10376151284775
"49",4.6034,0.954718170853256
"50",4.60345,0.796744740912708
"51",4.6035,0.65757970340746
"52",4.60355,0.446949714902322
"53",4.6036,0.262185135706023
"54",4.60365,0.402424117434384
"55",4.6037,0.618408115137433
"56",4.60375,0.821492888749571
"57",4.6038,0.972221522301231
"58",4.60385,1.09022469845131
"59",4.6039,1.11177822887984
"60",4.60395,0.935738356188072
"61",4.604,0.594596978283404
"62",4.60405,0.218085686550499
"63",4.6041,0.423914696350068
"64",4.60415,0.760204479404975
"65",4.6042,1.06396936837542
"66",4.60425,1.22166173434252
"67",4.6043,1.16259576112702
"68",4.60435,1.01307972334611
"69",4.6044,1.04092003109237
"70",4.60445,1.21756282136715
"71",4.6045,1.31422932933736
"72",4.60455,1.2738160522644
"73",4.6046,1.25603683349495
"74",4.60465,1.45420963704366
"75",4.6047,1.78008217898918
"76",4.60475,2.07032926269236
"77",4.6048,2.29629405867001
"78",4.60485,2.41902083545245
"79",4.6049,2.35470277044099
"80",4.60495,2.1413027197308
"81",4.605,2.01736213442388
"82",4.60505,2.0447841457607
"83",4.6051,2.17072436106459
"84",4.60515,2.19902991925315
"85",4.6052,2.06581420975757
"86",4.60525,1.86653624072848
"87",4.6053,1.52685402666977
"88",4.60535,1.1685040824965
"89",4.6054,0.898554717453994
"90",4.60545,0.933859746434462
"91",4.6055,1.05921525449332
"92",4.60555,1.04620305552753
"93",4.6056,0.922498638937968
"94",4.60565,0.761592407837579
"95",4.6057,0.638434740354174
"96",4.60575,0.599894861759357
"97",4.6058,0.621718993148152
"98",4.60585,0.684451363889366
"99",4.6059,0.72001826335336
"100",4.60595,0.711545700893083
"101",4.606,0.639372389728707
"102",4.60605,0.626933870271037
"103",4.6061,0.719312189863261
"104",4.60615,0.832405524012602
"105",4.6062,0.903884707212555
"106",4.60625,0.906197166586999
"107",4.6063,0.817251250875107
"108",4.60635,0.524018376324366
"109",4.6064,0.0548341341430085
"110",4.60645,0.464724728571009
"111",4.6065,0.840692181860756
"112",4.60655,1.09984709496785
"113",4.6066,1.25167441024426
"114",4.60665,1.21233939764999
"115",4.6067,1.0748656339375
"116",4.60675,0.968685455108642
"117",4.6068,0.968736953121827
"118",4.60685,0.995759874239723
"119",4.6069,1.00270565168453
"120",4.60695,1.02502388411741
"121",4.607,1.09317848850642
"122",4.60705,1.41545856288979
"123",4.6071,1.85994748119058
"124",4.60715,2.29748712723338
"125",4.6072,2.77042601846359
"126",4.60725,3.02332670700908
"127",4.6073,2.90386592159372
"128",4.60735,2.45810496685885
"129",4.6074,1.91146945523474
"130",4.60745,1.36253145329294
"131",4.6075,0.766926181275426
"132",4.60755,0.519720531480162
"133",4.6076,0.825488319580328
"134",4.60765,1.00601430075302
"135",4.6077,1.0275075025056
"136",4.60775,0.895865126730183
"137",4.6078,0.736890429703492
"138",4.60785,0.682655740854414
"139",4.6079,0.694328513454486
"140",4.60795,0.863577774170939
"141",4.608,0.95630246206346
"142",4.60805,0.962952749866237
"143",4.6081,0.896506332413181
"144",4.60815,0.838279743206232
"145",4.6082,0.839903589520724
"146",4.60825,1.00847878927284
"147",4.6083,1.31662400547425
"148",4.60835,1.68392197455017
"149",4.6084,2.02081111520387
"150",4.60845,2.15461579036529
"151",4.6085,2.13057719237929
"152",4.60855,1.99285349719991
"153",4.6086,1.75000764719184
"154",4.60865,1.3827744606656
"155",4.6087,1.00545455336434
"156",4.60875,0.857218171359839
"157",4.6088,0.843290784846512
"158",4.60885,0.849027228584672
"159",4.6089,1.05147654097453
"160",4.60895,1.29101236482257
"161",4.609,1.27146397423127
"162",4.60905,0.956784339833011
"163",4.6091,0.65795652242893
"164",4.60915,0.443278623840507
"165",4.6092,0.252032936424667
"166",4.60925,0.0930196371808795
"167",4.6093,0.115807142049388
"168",4.60935,0.233121127348121
"169",4.6094,0.543085060933527
"170",4.60945,0.875765843776496
"171",4.6095,1.07208096316615
"172",4.60955,1.20342621589959
"173",4.6096,1.40766331693763
"174",4.60965,1.60751023513624
