"","c_d","s_d"
"1",1163,831
"2",1046,776
"3",1075,1060
"4",945,1651
"5",716,1705
"6",536,1743
"7",400,1675
"8",647,1084
"9",1438,401
"10",1808,466
"11",1774,656
"12",1556,667
"13",1395,485
"14",1377,332
"15",1304,837
"16",788,1294
"17",318,1218
"18",71,1111
"19",108,1124
"20",215,1223
"21",201,1408
"22",79,1510
"23",-29,1469
"24",-16,1376
"25",144,1295
"26",462,1172
"27",1055,955
"28",1295,417
"29",1307,435
"30",1197,344
"31",1041,180
"32",845,121
"33",690,352
"34",750,723
"35",906,1007
"36",1109,1153
"37",1346,1114
"38",1492,1322
"39",1492,1881
"40",1029,2098
"41",529,2203
"42",110,2047
"43",-64,1586
"44",90,1129
"45",380,952
"46",590,807
"47",679,956
"48",672,1104
"49",492,1076
"50",417,950
"51",407,949
"52",369,1088
"53",260,1250
"54",138,1338
"55",71,1366
"56",143,1318
"57",310,1269
"58",487,1279
"59",519,1458
"60",467,1814
"61",313,2175
"62",280,2275
"63",278,2269
"64",348,2150
"65",369,1858
"66",277,1412
"67",168,886
"68",293,598
"69",935,290
"70",1470,-214
"71",1725,-9
"72",1915,308
"73",1991,415
"74",1928,369
"75",1772,484
"76",1504,1065
"77",862,1290
"78",495,1339
"79",537,1309
"80",878,942
"81",1826,321
"82",2142,-24
"83",1990,-104
"84",1554,-83
"85",1255,57
"86",1183,299
"87",1182,902
"88",751,1614
"89",227,1622
"90",-171,1522
"91",-265,1375
"92",-259,1153
"93",-140,1174
"94",54,1343
"95",87,1521
"96",34,1453
"97",47,1166
"98",260,868
"99",702,444
"100",911,40
"101",852,224
"102",727,235
"103",844,312
"104",941,378
"105",1016,272
"106",952,-33
"107",981,-241
"108",1047,-231
"109",1052,-82
"110",932,1
"111",911,-175
"112",1212,-325
"113",1618,-351
"114",1632,-33
"115",1655,272
"116",1722,282
"117",1761,15
"118",1692,-260
"119",1510,-274
"120",1072,-117
"121",621,116
"122",397,281
"123",430,490
"124",653,759
"125",798,1024
"126",761,987
"127",695,657
"128",836,353
"129",1008,360
"130",1013,501
"131",1018,546
"132",1132,559
"133",1362,819
"134",1481,1596
"135",1210,2194
"136",599,2152
"137",306,2145
"138",320,2181
"139",343,2085
"140",740,1651
"141",1428,645
"142",1676,171
"143",1569,201
"144",1239,374
"145",984,689
"146",892,1149
"147",840,1323
"148",811,1252
"149",956,1164
"150",1206,1229
"151",1344,1377
"152",1392,1438
"153",1460,1435
"154",1632,1522
"155",1727,1534
"156",1698,1534
"157",1560,1534
"158",1528,1320
"159",1610,1111
"160",1760,1017
"161",1840,848
"162",1752,754
"163",1542,589
"164",1284,475
"165",1033,1145
"166",635,1160
"167",236,1336
"168",-19,1422
"169",41,1255
"170",358,1025
"171",737,1144
"172",954,1684
"173",794,2103
"174",483,2059
"175",272,1980
"176",320,1835
"177",471,1715
"178",610,1670
"179",680,1633
"180",724,1523
"181",713,1277
"182",810,1016
"183",986,1034
"184",1118,1099
"185",1075,1291
"186",928,1463
"187",814,1487
"188",819,1480
"189",832,1605
"190",721,1807
"191",499,1863
"192",429,1727
"193",481,1625
"194",697,1648
"195",1102,1327
"196",854,786
"197",714,621
"198",660,651
"199",732,691
"200",918,468
"201",1242,109
"202",1494,-83
"203",1548,31
"204",1239,194
"205",864,130
"206",786,-37
"207",929,-11
"208",1080,-43
"209",1207,-47
"210",1305,-27
"211",1399,148
"212",1320,380
"213",1055,446
"214",725,329
"215",618,264
"216",526,324
"217",475,391
"218",520,321
"219",741,257
"220",1071,293
"221",1345,435
"222",1474,490
"223",1669,361
"224",1895,784
"225",1860,1108
"226",1459,969
"227",1152,783
"228",997,841
"229",556,1034
"230",111,1130
"231",-130,1106
"232",-21,1160
"233",272,1377
"234",504,1775
"235",506,2028
"236",532,2002
"237",541,1865
"238",545,1705
"239",583,1543
"240",672,1527
"241",892,1744
"242",1468,2006
"243",1599,1745
"244",1460,1363
"245",1372,1164
