"","c_d","s_d"
"1",811,1776
"2",1379,1465
"3",1375,922
"4",1546,584
"5",1728,454
"6",1740,395
"7",1654,271
"8",1568,260
"9",1560,328
"10",1669,492
"11",1830,646
"12",1926,799
"13",1873,824
"14",1766,796
"15",1695,674
"16",1665,588
"17",1655,570
"18",1662,678
"19",1656,874
"20",1631,1156
"21",1549,1237
"22",1517,1006
"23",1623,492
"24",1837,-25
"25",2080,-263
"26",2199,-296
"27",2302,-41
"28",2056,296
"29",1594,424
"30",1429,434
"31",1598,563
"32",1677,898
"33",1845,1152
"34",1944,1475
"35",1969,1504
"36",1987,1528
"37",1721,1620
"38",1137,1361
"39",1247,1045
"40",1260,940
"41",1140,1096
"42",975,1388
"43",1152,1499
"44",1634,1459
"45",1719,1276
"46",1547,1050
"47",1368,722
"48",1320,529
"49",1431,523
"50",1488,796
"51",1382,914
"52",1187,664
"53",1111,304
"54",1181,184
"55",1268,329
"56",1321,603
"57",1339,745
"58",1379,800
"59",1428,827
"60",1435,881
"61",1382,845
"62",1379,822
"63",1470,836
"64",1621,899
"65",1818,933
"66",1976,1322
"67",1580,1794
"68",1015,1831
"69",743,1500
"70",412,1034
"71",257,643
"72",271,484
"73",292,568
"74",134,754
"75",-163,853
"76",-447,750
"77",-448,601
"78",-366,500
"79",-220,572
"80",-140,760
"81",-44,984
"82",124,1075
"83",298,1068
"84",426,1117
"85",475,1293
"86",386,1511
"87",155,1632
"88",-93,1576
"89",-202,1444
"90",-141,1252
"91",37,1016
"92",248,791
"93",322,701
"94",103,736
"95",-225,796
"96",-380,736
"97",-57,652
"98",1281,618
"99",1712,496
"100",1905,388
"101",2056,247
"102",2180,292
"103",2178,602
"104",1940,898
"105",1477,1132
"106",1093,1242
"107",1011,1067
"108",1219,1078
"109",1436,1317
"110",1559,1613
"111",1415,1653
"112",1182,1656
"113",1041,1312
"114",1186,690
"115",1545,353
"116",1819,366
"117",1866,436
"118",1796,455
"119",1824,491
"120",1902,659
"121",1892,740
"122",1899,638
"123",1989,416
"124",2017,360
"125",1923,413
"126",1669,597
"127",1165,937
"128",359,1099
"129",123,1193
"130",105,1017
"131",69,1010
"132",15,1219
"133",-45,1499
"134",-62,1665
"135",-120,1578
"136",-242,1187
"137",-246,791
"138",-30,600
"139",295,694
"140",505,909
"141",520,1053
"142",535,1028
"143",587,999
"144",651,1095
"145",1052,1410
"146",1908,1469
"147",1883,1408
"148",1835,1101
"149",1750,786
"150",1638,742
"151",1382,1123
"152",913,1526
"153",124,1307
"154",379,955
"155",728,782
"156",947,744
"157",1079,728
"158",1078,595
"159",1017,504
"160",924,348
"161",930,327
"162",1005,390
"163",991,603
"164",914,748
"165",933,742
"166",945,1030
"167",1038,1328
"168",1092,1580
"169",1445,1804
"170",2033,1664
"171",2094,1395
"172",2223,1175
"173",2398,883
"174",2421,457
"175",2557,203
"176",2557,354
"177",2406,641
"178",1784,738
"179",1304,422
"180",1148,-86
"181",1229,-259
"182",1265,-259
"183",1231,-252
"184",1299,-198
"185",1519,-16
"186",1627,658
"187",1390,1453
"188",545,1801
"189",201,1836
"190",147,1704
"191",220,1615
"192",413,1550
"193",694,1561
"194",1018,1610
"195",1122,1496
"196",984,1183
"197",695,884
"198",419,899
"199",182,1131
"200",-19,1508
"201",-200,1690
"202",-376,1544
"203",-310,1408
"204",13,1114
"205",290,942
"206",344,846
"207",228,654
"208",91,319
"209",156,202
"210",371,340
"211",765,486
"212",1372,657
"213",1123,554
"214",911,383
"215",755,314
"216",716,495
"217",907,1102
"218",623,1657
"219",478,1887
"220",777,1807
"221",862,1445
"222",924,1095
"223",1272,1206
"224",1938,1244
"225",1562,1070
"226",1146,794
"227",952,742
"228",930,934
"229",883,1596
"230",362,1779
"231",153,1373
"232",617,1011
"233",915,1152
"234",867,1412
"235",663,1457
"236",511,1401
"237",511,1344
"238",511,1310
"239",565,1348
"240",547,1394
"241",620,1274
"242",1203,970
"243",1157,751
"244",1225,666
"245",1315,642
