"","c_d","s_d"
"1",1172,1226
"2",1124,1074
"3",1271,888
"4",1613,868
"5",1979,1206
"6",2118,1456
"7",1140,1216
"8",626,1180
"9",477,881
"10",389,459
"11",280,413
"12",56,623
"13",-90,732
"14",-23,643
"15",361,545
"16",743,515
"17",941,243
"18",1508,58
"19",1668,156
"20",1655,294
"21",1771,405
"22",1728,683
"23",1406,1181
"24",941,1462
"25",700,1441
"26",730,1282
"27",952,1224
"28",1248,1345
"29",1459,1562
"30",1474,1817
"31",1352,1867
"32",1293,1765
"33",1331,1553
"34",1351,1424
"35",1318,1365
"36",1254,1331
"37",1209,1192
"38",1205,1072
"39",1284,1133
"40",1355,1393
"41",1319,1575
"42",1240,1656
"43",1372,1665
"44",1443,1727
"45",1420,1812
"46",1382,1870
"47",1426,1800
"48",1501,1539
"49",969,1109
"50",457,1086
"51",281,1019
"52",24,820
"53",-184,514
"54",-313,45
"55",575,274
"56",820,838
"57",944,1341
"58",1120,1625
"59",1394,1594
"60",1520,1230
"61",996,947
"62",671,905
"63",486,889
"64",330,955
"65",170,1038
"66",-94,687
"67",548,516
"68",643,578
"69",649,799
"70",667,1108
"71",682,1206
"72",715,1079
"73",879,827
"74",1126,719
"75",1335,714
"76",1484,687
"77",1685,668
"78",1868,884
"79",956,861
"80",730,901
"81",615,858
"82",419,776
"83",216,673
"84",60,655
"85",68,718
"86",157,812
"87",229,942
"88",235,1018
"89",253,990
"90",339,889
"91",416,781
"92",402,662
"93",390,510
"94",462,361
"95",599,327
"96",649,476
"97",598,601
"98",540,635
"99",555,666
"100",537,743
"101",445,849
"102",401,1005
"103",445,1085
"104",539,991
"105",555,821
"106",622,705
"107",880,691
"108",1156,737
"109",1280,712
"110",1224,670
"111",1083,496
"112",1065,230
"113",1316,-48
"114",1532,-2
"115",2037,457
"116",1951,1098
"117",1909,1409
"118",1998,1525
"119",2137,1513
"120",1830,1074
"121",1066,837
"122",723,701
"123",670,610
"124",510,730
"125",248,1002
"126",74,1198
"127",105,1191
"128",347,1119
"129",609,1095
"130",716,1084
"131",628,1119
"132",421,1303
"133",186,1422
"134",174,1489
"135",410,1397
"136",746,1249
"137",963,1170
"138",1009,1190
"139",896,1120
"140",821,1020
"141",852,1010
"142",893,1118
"143",839,1055
"144",1108,651
"145",1890,827
"146",2013,1353
"147",1942,1843
"148",1696,2008
"149",1552,1783
"150",1680,1610
"151",1909,1695
"152",2072,1953
"153",2086,2126
"154",2105,2132
"155",2080,1992
"156",1991,2000
"157",1828,2137
"158",1694,2205
"159",1553,2205
"160",1467,2236
"161",1360,2288
"162",1270,2297
"163",1191,2102
"164",1177,1857
"165",1286,1579
"166",1438,1401
"167",1436,1447
"168",1335,1574
"169",1314,1482
"170",1566,1307
"171",1954,1147
"172",2206,1063
"173",2119,857
"174",1922,493
"175",995,201
"176",424,157
"177",542,239
"178",750,653
"179",773,1029
"180",644,1052
"181",644,820
"182",773,813
"183",736,1090
"184",473,1093
"185",195,1033
"186",160,1043
"187",332,1168
"188",511,1347
"189",459,1450
"190",288,1522
"191",153,1447
"192",81,1217
"193",9,1138
"194",-30,1137
"195",17,1095
"196",112,1000
"197",175,895
"198",210,857
"199",284,960
"200",380,1190
"201",394,1401
"202",349,1439
"203",357,1118
"204",919,600
"205",1660,655
"206",1554,909
"207",1536,1150
"208",1574,1279
"209",1366,1229
"210",1166,1270
"211",1072,1248
"212",1002,1276
"213",964,1291
"214",1067,1321
"215",1148,1512
"216",1086,1794
"217",913,1927
"218",767,1809
"219",863,1535
"220",1401,1311
"221",1784,1102
"222",1876,712
"223",1271,304
"224",627,150
"225",572,18
"226",675,97
"227",872,252
"228",1029,259
"229",1690,246
"230",1965,603
"231",1828,904
"232",1784,1007
"233",1868,940
"234",1865,870
"235",1735,605
"236",1631,304
"237",1789,264
"238",2037,311
"239",2092,579
"240",1728,1387
"241",1300,1679
"242",1143,1566
"243",1162,1407
"244",1289,1367
"245",1427,1304
